video,Sentiment Score,C-Label,S-Label
video93,0.925,Social Interaction,Highly Positive
video82,0.5,Game Design,Neutral
video121,0.925,Game Design,Highly Positive
video3,0.25,Game Design,Negative
video3,0.925,Game Design,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video47,0.15,Audience Reaction,Highly Negative
video91,0.5,Social Interaction,Neutral
video82,0.45,Audience Reaction,Neutral
video97,0.35,Game Experience,Negative
video82,0.85,Audience Reaction,Highly Positive
video82,0.456,Audience Reaction,Neutral
video4,0.654,Social Interaction,Positive
video47,0.456,Audience Reaction,Neutral
video80,0.45,Audience Anticipation,Neutral
video3,0.95,Game Experience,Highly Positive
video53,0.85,Game Experience,Highly Positive
video89,0.95,Game Design,Highly Positive
video62,0.35,Audience Feedback,Negative
video82,0.5,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.45,Social Interaction,Neutral
video48,0.752,Game Experience,Positive
video54,0.5,Game Design,Neutral
video82,0.75,Audience Reaction,Positive
video117,0.95,Audience Reaction,Highly Positive
video97,0.65,Game Design,Positive
video83,0.25,Social Interaction,Negative
video60,0.357,Game Experience,Negative
video3,0.75,Audience Reaction,Positive
video82,0.65,Audience Feedback,Positive
video82,0.25,Social Interaction,Negative
video53,0.5,Audience Anticipation,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.5,Game Plot,Neutral
video3,0.85,Audience Reaction,Highly Positive
video3,0.5,Information Share,Neutral
video82,0.15,Audience Reaction,Highly Negative
video8,0.15,Social Interaction,Highly Negative
video82,0.25,Game Plot,Negative
video23,0.5,Game Experience,Neutral
video2,0.985,Audience Reaction,Highly Positive
video3,0.25,Game Design,Negative
video11,0.75,Audience Reaction,Positive
video4,0.35,Game Experience,Negative
video82,0.85,Audience Reaction,Highly Positive
video48,0.65,Game Experience,Positive
video16,0.85,Audience Reaction,Highly Positive
video76,0.85,Audience Reaction,Highly Positive
video106,0.5,Game Experience,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.25,Game Plot,Negative
video16,0.5,Social Interaction,Neutral
video23,0.95,Audience Reaction,Highly Positive
video82,0.65,Audience Reaction,Positive
video41,0.85,Social Interaction,Highly Positive
video2,0.15,Game Design,Highly Negative
video60,0.785,Game Experience,Positive
video46,0.5,Social Interaction,Neutral
video117,0.85,Social Interaction,Highly Positive
video24,0.0,Social Interaction,Highly Negative
video4,0.5,Game Experience,Neutral
video7,0.95,Audience Reaction,Highly Positive
video82,0.65,Game Design,Positive
video114,0.25,Social Interaction,Negative
video47,0.654,Audience Feedback,Positive
video60,0.25,Audience Reaction,Negative
video2,0.75,Game Design,Positive
video19,0.45,Audience Reaction,Neutral
video52,0.5,Game Plot,Neutral
video9,0.65,Audience Reaction,Positive
video113,0.5,Game Experience,Neutral
video117,0.456,Audience Reaction,Neutral
video3,0.925,Audience Reaction,Highly Positive
video8,0.0,Social Interaction,Highly Negative
video82,0.5,Audience Reaction,Neutral
video82,0.85,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video112,0.75,Audience Reaction,Positive
video3,0.5,Audience Anticipation,Neutral
video61,0.65,Game Design,Positive
video82,0.925,Game Plot,Highly Positive
video82,0.75,Audience Reaction,Positive
video3,0.85,Social Interaction,Highly Positive
video97,0.75,Audience Reaction,Positive
video82,0.25,Audience Reaction,Negative
video4,0.75,Audience Feedback,Positive
video62,0.85,Game Design,Highly Positive
video106,0.75,Audience Reaction,Positive
video23,0.5,Information Share,Neutral
video92,0.5,Game Plot,Neutral
video23,0.75,Audience Reaction,Positive
video82,0.5,Social Interaction,Neutral
video82,0.75,Social Interaction,Positive
video59,0.55,Game Plot,Neutral
video54,0.85,Audience Reaction,Highly Positive
video104,0.85,Audience Anticipation,Highly Positive
video2,0.95,Game Design,Highly Positive
video4,0.35,Audience Reaction,Negative
video82,0.5,Audience Reaction,Neutral
video21,0.85,Game Design,Highly Positive
video117,0.5,Social Interaction,Neutral
video3,0.95,Game Design,Highly Positive
video82,0.25,Audience Feedback,Negative
video8,0.5,Social Interaction,Neutral
video117,0.5,Game Plot,Neutral
video82,0.654,Social Interaction,Positive
video21,0.25,Audience Feedback,Negative
video98,0.5,Information Share,Neutral
video59,0.5,Game Plot,Neutral
video46,0.25,Game Design,Negative
video82,0.35,Social Interaction,Negative
video4,0.75,Social Interaction,Positive
video48,0.65,Game Experience,Positive
video4,0.5,Audience Reaction,Neutral
video3,0.25,Audience Reaction,Negative
video82,0.5,Game Plot,Neutral
video82,0.5,Social Interaction,Neutral
video47,0.456,Game Experience,Neutral
video38,0.15,Audience Feedback,Highly Negative
video56,0.925,Game Design,Highly Positive
video3,0.75,Game Plot,Positive
video93,0.5,Game Experience,Neutral
video2,0.985,Audience Anticipation,Highly Positive
video38,0.5,Social Interaction,Neutral
video3,0.925,Game Experience,Highly Positive
video8,0.75,Audience Reaction,Positive
video42,0.25,Audience Reaction,Negative
video1,0.5,Social Interaction,Neutral
video3,0.5,Game Design,Neutral
video84,0.75,Game Plot,Positive
video82,0.5,Social Interaction,Neutral
video62,0.75,Social Interaction,Positive
video82,0.5,Game Plot,Neutral
video51,0.85,Game Plot,Highly Positive
video70,0.456,Audience Reaction,Neutral
video24,0.25,Audience Feedback,Negative
video3,0.75,Game Experience,Positive
video23,0.5,Social Interaction,Neutral
video9,0.5,Game Requirement,Neutral
video82,0.25,Audience Reaction,Negative
video117,0.925,Audience Reaction,Highly Positive
video40,0.5,Social Interaction,Neutral
video19,0.75,Audience Reaction,Positive
video82,0.5,Social Interaction,Neutral
video82,0.5,Audience Reaction,Neutral
video91,0.9,Audience Reaction,Highly Positive
video106,0.5,Game Plot,Neutral
video82,0.5,Audience Anticipation,Neutral
video2,0.45,Information Share,Neutral
video82,0.25,Audience Reaction,Negative
video82,0.5,Social Interaction,Neutral
video82,0.5,Game Design,Neutral
video82,0.85,Audience Reaction,Highly Positive
video3,0.5,Social Interaction,Neutral
video4,0.15,Audience Feedback,Highly Negative
video82,0.75,Game Plot,Positive
video82,0.85,Game Design,Highly Positive
video51,0.451,Audience Reaction,Neutral
video82,0.35,Audience Reaction,Negative
video8,0.85,Social Interaction,Highly Positive
video3,0.5,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video59,0.85,Audience Reaction,Highly Positive
video60,0.65,Game Experience,Positive
video82,0.5,Social Interaction,Neutral
video37,0.85,Game Plot,Highly Positive
video82,0.0,Social Interaction,Highly Negative
video109,0.852,Audience Reaction,Highly Positive
video4,0.85,Audience Reaction,Highly Positive
video116,0.5,Information Share,Neutral
video25,0.5,Social Interaction,Neutral
video60,0.652,Audience Feedback,Positive
video3,0.5,Social Interaction,Neutral
video80,0.85,Game Experience,Highly Positive
video82,0.65,Social Interaction,Positive
video100,0.25,Audience Reaction,Negative
video85,0.925,Audience Reaction,Highly Positive
video78,0.95,Social Interaction,Highly Positive
video10,0.75,Audience Reaction,Positive
video3,0.35,Social Interaction,Negative
video82,0.2,Social Interaction,Negative
video117,0.925,Audience Reaction,Highly Positive
video82,0.985,Social Interaction,Highly Positive
video82,0.85,Audience Reaction,Highly Positive
video8,0.925,Game Experience,Highly Positive
video45,0.95,Audience Reaction,Highly Positive
video73,0.5,Game Plot,Neutral
video59,0.95,Game Design,Highly Positive
video94,0.5,Game Design,Neutral
video4,0.45,Audience Reaction,Neutral
video4,0.75,Game Design,Positive
video23,0.35,Game Design,Negative
video7,0.95,Audience Reaction,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video3,0.0,Social Interaction,Highly Negative
video59,0.95,Game Plot,Highly Positive
video4,0.925,Social Interaction,Highly Positive
video59,0.25,Game Plot,Negative
video82,0.85,Social Interaction,Highly Positive
video50,0.925,Game Design,Highly Positive
video4,0.75,Social Interaction,Positive
video82,0.5,Game Design,Neutral
video3,0.75,Social Interaction,Positive
video82,0.5,Audience Reaction,Neutral
video62,0.5,Social Interaction,Neutral
video82,0.65,Audience Feedback,Positive
video4,0.85,Game Requirement,Highly Positive
video109,0.65,Audience Feedback,Positive
video62,0.85,Game Design,Highly Positive
video16,0.25,Audience Reaction,Negative
video61,0.25,Audience Feedback,Negative
video47,0.5,Information Share,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.75,Social Interaction,Positive
video82,0.5,Game Plot,Neutral
video25,0.85,Game Plot,Highly Positive
video109,0.65,Game Experience,Positive
video106,0.95,Audience Reaction,Highly Positive
video3,0.5,Information Share,Neutral
video91,0.25,Game Experience,Negative
video82,0.5,Game Design,Neutral
video15,0.35,Game Experience,Negative
video59,0.25,Audience Reaction,Negative
video51,0.85,Information Share,Highly Positive
video42,0.925,Game Design,Highly Positive
video41,0.95,Audience Reaction,Highly Positive
video51,0.5,Game Plot,Neutral
video41,0.95,Audience Reaction,Highly Positive
video4,0.888,Information Share,Highly Positive
video4,0.888,Information Share,Highly Positive
video84,0.5,Social Interaction,Neutral
video48,0.25,Game Design,Negative
video3,0.5,Social Interaction,Neutral
video40,0.5,Social Interaction,Neutral
video73,0.95,Audience Reaction,Highly Positive
video82,0.5,Game Experience,Neutral
video4,0.253,Social Interaction,Negative
video3,0.95,Game Design,Highly Positive
video82,0.5,Social Interaction,Neutral
video47,0.25,Audience Reaction,Negative
video82,0.0,Social Interaction,Highly Negative
video82,0.451,Game Experience,Neutral
video18,0.5,Social Interaction,Neutral
video44,0.5,Social Interaction,Neutral
video47,0.25,Social Interaction,Negative
video3,0.75,Game Design,Positive
video82,0.5,Social Interaction,Neutral
video54,0.75,Game Experience,Positive
video3,0.888,Social Interaction,Highly Positive
video80,0.75,Audience Feedback,Positive
video21,0.85,Game Plot,Highly Positive
video46,0.5,Social Interaction,Neutral
video82,0.357,Audience Reaction,Negative
video18,0.85,Game Design,Highly Positive
video20,0.65,Game Experience,Positive
video82,0.5,Social Interaction,Neutral
video80,0.5,Audience Reaction,Neutral
video92,0.5,Social Interaction,Neutral
video80,0.95,Audience Anticipation,Highly Positive
video51,0.5,Audience Reaction,Neutral
video82,0.65,Game Experience,Positive
video82,0.5,Audience Reaction,Neutral
video3,0.65,Social Interaction,Positive
video82,0.5,Audience Reaction,Neutral
video40,0.456,Audience Reaction,Neutral
video82,0.45,Audience Reaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video59,0.85,Social Interaction,Highly Positive
video23,0.5,Audience Reaction,Neutral
video4,0.925,Audience Reaction,Highly Positive
video53,0.75,Game Design,Positive
video15,0.25,Audience Feedback,Negative
video67,0.65,Game Plot,Positive
video21,0.5,Game Experience,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Social Interaction,Neutral
video61,0.65,Game Experience,Positive
video45,0.95,Audience Reaction,Highly Positive
video16,0.85,Audience Feedback,Highly Positive
video47,0.25,Game Experience,Negative
video86,0.75,Social Interaction,Positive
video98,0.5,Game Design,Neutral
video10,0.25,Audience Reaction,Negative
video20,0.5,Information Share,Neutral
video4,0.25,Game Design,Negative
video75,0.654,Audience Reaction,Positive
video82,0.5,Social Interaction,Neutral
video4,0.5,Social Interaction,Neutral
video85,0.5,Game Design,Neutral
video82,0.5,Social Interaction,Neutral
video106,0.35,Game Experience,Negative
video82,0.0,Audience Reaction,Highly Negative
video3,0.2,Social Interaction,Negative
video75,0.85,Audience Reaction,Highly Positive
video54,0.45,Social Interaction,Neutral
video59,0.85,Social Interaction,Highly Positive
video111,0.85,Audience Anticipation,Highly Positive
video16,0.85,Audience Anticipation,Highly Positive
video4,0.5,Social Interaction,Neutral
video82,0.75,Audience Feedback,Positive
video2,0.85,Game Design,Highly Positive
video7,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.25,Social Interaction,Negative
video82,0.5,Game Plot,Neutral
video7,0.95,Social Interaction,Highly Positive
video82,0.25,Social Interaction,Negative
video61,0.35,Game Experience,Negative
video82,0.5,Audience Feedback,Neutral
video23,0.65,Audience Reaction,Positive
video53,0.25,Audience Feedback,Negative
video79,0.5,Game Requirement,Neutral
video63,0.456,Audience Reaction,Neutral
video3,0.25,Game Experience,Negative
video98,0.456,Game Experience,Neutral
video82,0.45,Audience Reaction,Neutral
video65,0.45,Social Interaction,Neutral
video50,0.95,Audience Anticipation,Highly Positive
video8,0.85,Social Interaction,Highly Positive
video47,0.85,Audience Reaction,Highly Positive
video23,0.5,Game Design,Neutral
video104,0.5,Audience Feedback,Neutral
video82,0.85,Audience Reaction,Highly Positive
video114,0.35,Game Plot,Negative
video82,0.5,Game Plot,Neutral
video2,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video23,0.85,Audience Reaction,Highly Positive
video47,0.85,Audience Reaction,Highly Positive
video50,0.5,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.5,Game Design,Neutral
video50,0.5,Game Design,Neutral
video15,0.65,Audience Reaction,Positive
video51,0.75,Social Interaction,Positive
video106,0.75,Game Design,Positive
video3,0.95,Audience Reaction,Highly Positive
video117,0.65,Audience Reaction,Positive
video8,0.75,Game Design,Positive
video82,0.5,Audience Reaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video111,0.85,Social Interaction,Highly Positive
video82,0.5,Game Plot,Neutral
video82,0.25,Audience Feedback,Negative
video82,0.5,Audience Feedback,Neutral
video117,0.85,Social Interaction,Highly Positive
video12,0.5,Game Experience,Neutral
video92,0.85,Game Design,Highly Positive
video82,0.75,Audience Reaction,Positive
video82,0.5,Audience Anticipation,Neutral
video2,0.45,Audience Anticipation,Neutral
video55,1.0,Audience Anticipation,Highly Positive
video23,0.5,Information Share,Neutral
video82,0.5,Game Design,Neutral
video3,0.75,Game Plot,Positive
video114,0.5,Social Interaction,Neutral
video111,0.5,Audience Anticipation,Neutral
video4,0.45,Audience Reaction,Neutral
video23,0.25,Game Design,Negative
video82,0.75,Social Interaction,Positive
video46,0.85,Social Interaction,Highly Positive
video3,0.5,Information Share,Neutral
video82,0.357,Audience Reaction,Negative
video54,0.5,Audience Feedback,Neutral
video117,0.925,Audience Reaction,Highly Positive
video59,0.85,Audience Reaction,Highly Positive
video80,0.852,Audience Anticipation,Highly Positive
video2,0.75,Audience Reaction,Positive
video44,0.0,Social Interaction,Highly Negative
video82,0.5,Social Interaction,Neutral
video16,0.25,Social Interaction,Negative
video103,0.85,Audience Reaction,Highly Positive
video117,0.5,Audience Reaction,Neutral
video3,0.25,Audience Feedback,Negative
video59,0.65,Audience Anticipation,Positive
video10,0.85,Audience Anticipation,Highly Positive
video113,0.75,Audience Reaction,Positive
video4,0.25,Social Interaction,Negative
video82,0.85,Audience Reaction,Highly Positive
video3,0.5,Social Interaction,Neutral
video82,0.25,Audience Reaction,Negative
video41,0.85,Game Plot,Highly Positive
video59,0.5,Social Interaction,Neutral
video82,0.5,Game Design,Neutral
video104,0.5,Social Interaction,Neutral
video82,0.5,Game Plot,Neutral
video3,0.5,Game Plot,Neutral
video112,0.5,Social Interaction,Neutral
video82,0.5,Audience Reaction,Neutral
video9,0.25,Audience Anticipation,Negative
video51,0.85,Social Interaction,Highly Positive
video50,0.5,Audience Feedback,Neutral
video76,0.0,Social Interaction,Highly Negative
video82,0.85,Audience Reaction,Highly Positive
video71,0.652,Audience Reaction,Positive
video82,0.5,Audience Reaction,Neutral
video4,0.25,Audience Feedback,Negative
video23,0.25,Social Interaction,Negative
video53,0.5,Game Experience,Neutral
video66,0.65,Audience Reaction,Positive
video47,0.45,Audience Reaction,Neutral
video117,0.85,Audience Reaction,Highly Positive
video82,0.75,Audience Anticipation,Positive
video23,0.5,Information Share,Neutral
video15,0.15,Audience Feedback,Highly Negative
video23,0.45,Information Share,Neutral
video82,0.75,Game Plot,Positive
video3,0.55,Social Interaction,Neutral
video55,0.95,Audience Reaction,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video39,0.5,Social Interaction,Neutral
video55,0.85,Game Design,Highly Positive
video47,0.75,Audience Reaction,Positive
video44,0.15,Audience Reaction,Highly Negative
video62,0.45,Information Share,Neutral
video53,0.45,Audience Anticipation,Neutral
video82,0.25,Audience Reaction,Negative
video4,0.85,Audience Anticipation,Highly Positive
video39,0.35,Social Interaction,Negative
video23,0.667,Audience Reaction,Positive
video60,0.5,Audience Reaction,Neutral
video84,0.5,Audience Reaction,Neutral
video82,0.55,Game Plot,Neutral
video8,0.5,Game Plot,Neutral
video111,0.654,Audience Reaction,Positive
video41,0.5,Social Interaction,Neutral
video60,0.25,Audience Reaction,Negative
video50,0.5,Information Share,Neutral
video82,0.5,Social Interaction,Neutral
video87,0.5,Information Share,Neutral
video82,0.0,Social Interaction,Highly Negative
video23,0.25,Audience Reaction,Negative
video121,0.5,Audience Anticipation,Neutral
video2,0.5,Game Design,Neutral
video4,0.5,Game Design,Neutral
video7,0.5,Social Interaction,Neutral
video102,0.5,Audience Reaction,Neutral
video92,0.25,Game Experience,Negative
video25,0.925,Audience Reaction,Highly Positive
video82,0.654,Game Plot,Positive
video59,0.925,Audience Reaction,Highly Positive
video53,0.5,Audience Feedback,Neutral
video4,0.5,Social Interaction,Neutral
video51,0.35,Social Interaction,Negative
video55,0.85,Audience Reaction,Highly Positive
video16,0.5,Information Share,Neutral
video3,0.5,Audience Reaction,Neutral
video8,0.85,Information Share,Highly Positive
video82,0.75,Audience Reaction,Positive
video3,0.5,Social Interaction,Neutral
video61,0.5,Audience Feedback,Neutral
video3,0.5,Audience Reaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.75,Social Interaction,Positive
video8,0.25,Audience Feedback,Negative
video60,0.65,Game Experience,Positive
video121,0.654,Audience Reaction,Positive
video48,0.85,Audience Reaction,Highly Positive
video55,0.85,Game Design,Highly Positive
video3,0.5,Game Requirement,Neutral
video99,0.5,Game Design,Neutral
video48,0.85,Information Share,Highly Positive
video82,0.75,Audience Reaction,Positive
video82,0.75,Audience Reaction,Positive
video78,0.85,Audience Reaction,Highly Positive
video73,0.5,Social Interaction,Neutral
video82,0.35,Audience Feedback,Negative
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Social Interaction,Neutral
video8,0.0,Audience Reaction,Highly Negative
video82,0.25,Social Interaction,Negative
video70,0.75,Audience Reaction,Positive
video97,0.5,Social Interaction,Neutral
video4,0.5,Game Plot,Neutral
video72,0.95,Social Interaction,Highly Positive
video8,0.5,Social Interaction,Neutral
video24,0.15,Audience Reaction,Highly Negative
video73,0.85,Social Interaction,Highly Positive
video19,0.925,Audience Reaction,Highly Positive
video111,0.75,Audience Anticipation,Positive
video85,0.5,Social Interaction,Neutral
video73,0.75,Audience Reaction,Positive
video4,0.25,Game Design,Negative
video82,0.75,Audience Reaction,Positive
video111,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video23,0.5,Game Requirement,Neutral
video80,0.652,Game Experience,Positive
video62,0.85,Audience Feedback,Highly Positive
video2,0.654,Audience Feedback,Positive
video82,0.95,Social Interaction,Highly Positive
video8,0.95,Game Experience,Highly Positive
video92,0.451,Social Interaction,Neutral
video6,0.75,Game Experience,Positive
video111,0.85,Social Interaction,Highly Positive
video19,0.925,Audience Reaction,Highly Positive
video50,0.5,Audience Reaction,Neutral
video54,0.75,Audience Anticipation,Positive
video8,0.25,Audience Reaction,Negative
video3,0.85,Game Plot,Highly Positive
video59,0.5,Social Interaction,Neutral
video82,0.75,Social Interaction,Positive
video2,0.925,Audience Reaction,Highly Positive
video41,0.5,Social Interaction,Neutral
video4,0.85,Audience Anticipation,Highly Positive
video18,0.85,Social Interaction,Highly Positive
video67,0.925,Game Plot,Highly Positive
video47,0.75,Audience Reaction,Positive
video82,0.5,Audience Anticipation,Neutral
video50,0.85,Social Interaction,Highly Positive
video59,0.25,Audience Feedback,Negative
video85,0.55,Audience Reaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.852,Audience Anticipation,Highly Positive
video85,0.75,Game Experience,Positive
video97,0.95,Audience Reaction,Highly Positive
video51,0.5,Social Interaction,Neutral
video4,0.45,Game Requirement,Neutral
video50,0.95,Audience Reaction,Highly Positive
video3,0.15,Audience Feedback,Highly Negative
video97,0.65,Audience Reaction,Positive
video62,0.65,Audience Reaction,Positive
video73,0.5,Social Interaction,Neutral
video82,0.75,Game Plot,Positive
video23,0.15,Audience Reaction,Highly Negative
video81,0.5,Progress and Updates,Neutral
video21,0.925,Social Interaction,Highly Positive
video47,0.35,Audience Reaction,Negative
video82,0.5,Game Design,Neutral
video82,0.25,Audience Reaction,Negative
video59,0.75,Game Plot,Positive
video82,0.25,Audience Anticipation,Negative
video55,0.75,Game Design,Positive
video82,0.75,Audience Reaction,Positive
video82,0.5,Audience Reaction,Neutral
video111,0.35,Progress and Updates,Negative
video62,0.852,Game Plot,Highly Positive
video82,0.25,Audience Reaction,Negative
video82,0.5,Social Interaction,Neutral
video16,0.25,Social Interaction,Negative
video4,0.65,Social Interaction,Positive
video119,0.5,Audience Reaction,Neutral
video24,0.85,Social Interaction,Highly Positive
video53,0.55,Audience Feedback,Neutral
video16,0.95,Audience Reaction,Highly Positive
video4,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video2,0.985,Social Interaction,Highly Positive
video37,0.5,Social Interaction,Neutral
video82,0.15,Audience Reaction,Highly Negative
video60,0.652,Game Experience,Positive
video82,0.75,Audience Reaction,Positive
video85,0.5,Social Interaction,Neutral
video82,0.5,Game Plot,Neutral
video111,0.453,Audience Feedback,Neutral
video82,0.85,Social Interaction,Highly Positive
video92,0.5,Game Design,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.5,Game Plot,Neutral
video3,0.35,Audience Feedback,Negative
video47,0.5,Audience Anticipation,Neutral
video82,0.5,Game Plot,Neutral
video82,0.5,Game Plot,Neutral
video42,0.25,Audience Anticipation,Negative
video39,0.925,Social Interaction,Highly Positive
video82,0.85,Audience Reaction,Highly Positive
video4,0.95,Game Design,Highly Positive
video8,0.925,Game Requirement,Highly Positive
video2,0.925,Audience Reaction,Highly Positive
video75,0.652,Game Experience,Positive
video23,0.15,Game Design,Highly Negative
video82,0.25,Audience Reaction,Negative
video82,0.65,Social Interaction,Positive
video82,0.5,Social Interaction,Neutral
video82,0.5,Game Experience,Neutral
video82,0.85,Audience Reaction,Highly Positive
video117,0.75,Game Design,Positive
video82,0.5,Game Plot,Neutral
video117,0.5,Game Design,Neutral
video54,0.85,Game Plot,Highly Positive
video92,0.75,Game Design,Positive
video82,0.5,Audience Anticipation,Neutral
video117,0.95,Audience Reaction,Highly Positive
video51,0.5,Social Interaction,Neutral
video2,0.5,Social Interaction,Neutral
video21,0.5,Game Design,Neutral
video8,0.75,Audience Reaction,Positive
video114,0.75,Audience Reaction,Positive
video82,0.5,Audience Anticipation,Neutral
video82,0.6,Social Interaction,Positive
video4,0.35,Audience Feedback,Negative
video75,0.752,Game Plot,Positive
video21,0.65,Game Plot,Positive
video8,0.75,Information Share,Positive
video38,0.85,Audience Reaction,Highly Positive
video59,0.5,Social Interaction,Neutral
video67,0.652,Game Plot,Positive
video48,0.5,Game Design,Neutral
video60,0.35,Game Experience,Negative
video4,0.75,Social Interaction,Positive
video23,0.5,Game Plot,Neutral
video103,0.85,Audience Reaction,Highly Positive
video70,0.65,Audience Feedback,Positive
video36,0.5,Information Share,Neutral
video14,0.85,Audience Reaction,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video73,0.85,Audience Reaction,Highly Positive
video3,0.75,Audience Reaction,Positive
video92,0.65,Social Interaction,Positive
video8,0.453,Audience Reaction,Neutral
video117,0.925,Game Design,Highly Positive
video106,0.65,Audience Reaction,Positive
video4,0.15,Audience Reaction,Highly Negative
video14,0.451,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video47,0.75,Game Design,Positive
video25,0.95,Audience Anticipation,Highly Positive
video23,0.5,Audience Reaction,Neutral
video20,0.75,Audience Reaction,Positive
video82,0.25,Game Design,Negative
video92,0.5,Social Interaction,Neutral
video82,0.75,Social Interaction,Positive
video17,0.5,Information Share,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.75,Audience Reaction,Positive
video82,0.75,Game Design,Positive
video14,0.5,Social Interaction,Neutral
video59,0.25,Audience Anticipation,Negative
video100,0.0,Social Interaction,Highly Negative
video82,0.5,Social Interaction,Neutral
video8,0.85,Audience Feedback,Highly Positive
video43,0.85,Game Requirement,Highly Positive
video82,0.5,Audience Reaction,Neutral
video80,0.925,Game Design,Highly Positive
video82,0.5,Game Design,Neutral
video9,0.25,Audience Feedback,Negative
video2,0.85,Game Experience,Highly Positive
video9,0.5,Progress and Updates,Neutral
video107,0.85,Information Share,Highly Positive
video98,0.5,Game Design,Neutral
video82,0.75,Social Interaction,Positive
video55,0.95,Audience Reaction,Highly Positive
video82,0.75,Game Plot,Positive
video23,0.5,Social Interaction,Neutral
video82,0.85,Game Plot,Highly Positive
video42,0.95,Audience Reaction,Highly Positive
video82,0.75,Audience Anticipation,Positive
video20,0.925,Game Design,Highly Positive
video20,0.5,Audience Reaction,Neutral
video80,0.5,Game Design,Neutral
video3,0.85,Audience Reaction,Highly Positive
video92,0.75,Social Interaction,Positive
video16,0.75,Social Interaction,Positive
video39,0.85,Audience Feedback,Highly Positive
video106,0.5,Audience Reaction,Neutral
video20,0.5,Game Design,Neutral
video16,0.75,Social Interaction,Positive
video82,0.15,Audience Reaction,Highly Negative
video3,0.75,Information Share,Positive
video3,0.5,Social Interaction,Neutral
video3,0.85,Game Plot,Highly Positive
video59,0.85,Game Plot,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video60,0.45,Game Experience,Neutral
video82,0.85,Social Interaction,Highly Positive
video70,0.5,Game Design,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.25,Audience Reaction,Negative
video82,0.65,Game Experience,Positive
video4,0.85,Game Plot,Highly Positive
video111,0.5,Game Design,Neutral
video8,0.5,Game Experience,Neutral
video60,0.45,Game Plot,Neutral
video82,0.5,Social Interaction,Neutral
video80,0.85,Audience Feedback,Highly Positive
video82,0.654,Game Plot,Positive
video84,0.25,Game Plot,Negative
video82,0.5,Social Interaction,Neutral
video82,0.5,Game Plot,Neutral
video50,0.85,Game Design,Highly Positive
video51,0.35,Game Plot,Negative
video82,0.65,Game Plot,Positive
video82,0.55,Audience Reaction,Neutral
video20,0.85,Audience Reaction,Highly Positive
video114,0.25,Audience Feedback,Negative
video82,0.5,Game Plot,Neutral
video4,0.25,Social Interaction,Negative
video92,0.5,Game Plot,Neutral
video56,0.25,Audience Feedback,Negative
video51,0.65,Social Interaction,Positive
video60,0.35,Game Experience,Negative
video50,0.95,Game Design,Highly Positive
video82,0.75,Audience Reaction,Positive
video47,0.85,Audience Reaction,Highly Positive
video41,0.95,Audience Reaction,Highly Positive
video54,0.95,Audience Reaction,Highly Positive
video82,0.85,Game Design,Highly Positive
video82,0.5,Game Plot,Neutral
video117,1.0,Social Interaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video119,0.5,Social Interaction,Neutral
video82,0.5,Game Plot,Neutral
video16,0.852,Social Interaction,Highly Positive
video8,0.35,Game Experience,Negative
video82,0.5,Audience Anticipation,Neutral
video59,0.925,Game Plot,Highly Positive
video112,0.85,Social Interaction,Highly Positive
video45,0.95,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video50,0.85,Social Interaction,Highly Positive
video23,0.25,Game Experience,Negative
video5,0.654,Audience Reaction,Positive
video53,0.15,Audience Reaction,Highly Negative
video94,0.55,Game Experience,Neutral
video121,0.85,Social Interaction,Highly Positive
video42,0.5,Game Design,Neutral
video59,0.85,Game Plot,Highly Positive
video109,0.5,Social Interaction,Neutral
video47,0.456,Audience Reaction,Neutral
video55,0.456,Audience Reaction,Neutral
video85,0.5,Game Design,Neutral
