video,Sentiment Score,C-Label,IP,S-Label
video2,0.75,Social Interaction,Hebei,Positive
video88,0.35,Audience Reaction,Beijing,Negative
video6,0.85,Social Interaction,Zhejiang,Highly Positive
video40,0.75,Game Design,Guizhou,Positive
video6,0.25,Audience Feedback,Hunan,Negative
video9,0.9,Social Interaction,Sichuan,Highly Positive
video60,0.45,Game Experience,Guangdong,Neutral
video88,0.75,Audience Reaction,Guangdong,Positive
video89,0.75,Social Interaction,Liaoning,Positive
video6,0.45,Audience Reaction,Heilongjiang,Neutral
video60,0.65,Game Design,Liaoning,Positive
video50,0.75,Game Plot,Guangdong,Positive
video89,0.5,Social Interaction,Sichuan,Neutral
video5,0.25,Game Experience,Guizhou,Negative
video41,0.95,Audience Reaction,Guangdong,Highly Positive
video44,0.75,Social Interaction,Hebei,Positive
video81,0.925,Social Interaction,Beijing,Highly Positive
video11,0.5,Social Interaction,Guangdong,Neutral
video50,0.85,Social Interaction,Guangdong,Highly Positive
video28,0.75,Game Design,Guangdong,Positive
video46,0.5,Progress and Updates,Sichuan,Neutral
video56,0.789,Audience Reaction,Henan,Positive
video27,0.15,Audience Reaction,Zhejiang,Highly Negative
video6,0.5,Social Interaction,Anhui,Neutral
video6,0.5,Social Interaction,Shaanxi,Neutral
video82,0.75,Social Interaction,Inner Mongolia,Positive
video26,0.0,Game Plot,Shanxi,Highly Negative
video14,0.95,Social Interaction,Guangdong,Highly Positive
video59,0.5,Social Interaction,Fujian,Neutral
video62,0.75,Game Plot,Jiangsu,Positive
video41,0.85,Game Plot,Guizhou,Highly Positive
video73,0.65,Game Plot,Jiangsu,Positive
video46,0.925,Game Plot,Guangdong,Highly Positive
video6,0.35,Game Experience,Jiangsu,Negative
video3,0.75,Game Experience,Anhui,Positive
video49,0.85,Social Interaction,Zhejiang,Highly Positive
video47,0.75,Audience Reaction,Guangdong,Positive
video56,0.75,Audience Reaction,Guangdong,Positive
video3,0.5,Audience Reaction,Guangdong,Neutral
video47,0.85,Audience Reaction,Heilongjiang,Highly Positive
video5,0.925,Social Interaction,Hubei,Highly Positive
video41,0.25,Social Interaction,Anhui,Negative
video14,0.95,Social Interaction,Beijing,Highly Positive
video75,0.85,Audience Reaction,Jiangsu,Highly Positive
video59,0.85,Audience Reaction,Henan,Highly Positive
video82,0.65,Game Experience,Shandong,Positive
video7,0.456,Game Experience,Yunnan,Neutral
video6,0.5,Social Interaction,Jiangsu,Neutral
video42,0.75,Social Interaction,Henan,Positive
video56,0.999,Audience Reaction,Fujian,Highly Positive
video81,0.95,Audience Reaction,Shandong,Highly Positive
video44,0.357,Audience Reaction,Fujian,Negative
video41,0.75,Game Plot,Tianjin,Positive
video40,0.654,Game Plot,Jiangsu,Positive
video56,0.85,Audience Reaction,Guangdong,Highly Positive
video56,0.85,Audience Feedback,Guangxi,Highly Positive
video1,0.75,Game Plot,Guangdong,Positive
video6,0.75,Audience Reaction,Macau,Positive
video14,0.925,Social Interaction,Sichuan,Highly Positive
video48,0.85,Social Interaction,Guangdong,Highly Positive
video60,0.925,Audience Reaction,Shanxi,Highly Positive
video6,0.5,Social Interaction,Liaoning,Neutral
video6,0.75,Audience Reaction,Jiangsu,Positive
video69,0.85,Game Plot,Jilin,Highly Positive
video67,0.25,Audience Feedback,Guangdong,Negative
video28,0.45,Social Interaction,Jiangxi,Neutral
video89,0.5,Social Interaction,Guangdong,Neutral
video3,0.85,Game Experience,Zhejiang,Highly Positive
video14,0.5,Social Interaction,Guangdong,Neutral
video17,0.85,Audience Reaction,Jiangsu,Highly Positive
video6,0.5,Social Interaction,Jiangxi,Neutral
video55,0.925,Game Plot,Inner Mongolia,Highly Positive
video49,0.5,Game Plot,Guangdong,Neutral
video26,0.5,Social Interaction,Sichuan,Neutral
video60,0.75,Game Design,Sichuan,Positive
video56,0.85,Audience Reaction,Jiangxi,Highly Positive
video14,0.999,Social Interaction,Anhui,Highly Positive
video14,0.925,Game Experience,Jiangsu,Highly Positive
video6,0.65,Social Interaction,Hebei,Positive
video26,0.25,Game Experience,Inner Mongolia,Negative
video82,0.5,Social Interaction,Jiangxi,Neutral
video59,0.925,Audience Reaction,Guangdong,Highly Positive
video59,0.85,Audience Reaction,Jiangsu,Highly Positive
video6,0.15,Audience Reaction,Beijing,Highly Negative
video82,0.5,Social Interaction,Shandong,Neutral
video6,0.5,Social Interaction,Zhejiang,Neutral
video80,0.85,Game Experience,Tianjin,Highly Positive
video42,0.5,Social Interaction,Yunnan,Neutral
video82,0.5,Social Interaction,Hubei,Neutral
video80,0.925,Audience Reaction,Liaoning,Highly Positive
video60,0.85,Audience Reaction,Tibet,Highly Positive
video35,0.15,Audience Feedback,Guangdong,Highly Negative
video1,0.95,Social Interaction,Guangdong,Highly Positive
video59,0.253,Game Experience,Anhui,Negative
video46,0.85,Social Interaction,Henan,Highly Positive
video26,0.15,Social Interaction,Shanghai,Highly Negative
video80,0.5,Audience Reaction,Shandong,Neutral
video77,0.5,Social Interaction,Jiangxi,Neutral
video1,0.85,Social Interaction,Sichuan,Highly Positive
video6,0.25,Game Plot,Hubei,Negative
video59,0.852,Audience Reaction,Guangdong,Highly Positive
video50,1.0,Audience Reaction,Henan,Highly Positive
video60,0.5,Social Interaction,Jiangsu,Neutral
video6,0.925,Social Interaction,Hebei,Highly Positive
video14,0.85,Audience Reaction,Hubei,Highly Positive
video6,0.5,Social Interaction,Chongqing,Neutral
video6,0.5,Social Interaction,Henan,Neutral
video17,0.95,Game Design,Sichuan,Highly Positive
video44,0.852,Game Plot,Hunan,Highly Positive
video6,0.25,Social Interaction,Hunan,Negative
video28,0.5,Game Plot,Fujian,Neutral
video6,0.5,Social Interaction,Shandong,Neutral
video10,0.925,Game Experience,Sichuan,Highly Positive
video26,0.25,Social Interaction,Guangdong,Negative
video80,0.75,Social Interaction,Unknown,Positive
video6,0.5,Game Experience,Hunan,Neutral
video80,0.654,Game Experience,Hunan,Positive
video82,0.5,Social Interaction,Zhejiang,Neutral
video59,0.5,Social Interaction,Hunan,Neutral
video22,0.5,Social Interaction,Sichuan,Neutral
video56,0.85,Game Experience,Zhejiang,Highly Positive
video80,0.925,Audience Reaction,Henan,Highly Positive
video14,0.95,Social Interaction,Jiangsu,Highly Positive
video85,0.75,Game Experience,Henan,Positive
video59,0.153,Game Experience,Jiangsu,Highly Negative
video80,0.456,Audience Reaction,Zhejiang,Neutral
video50,0.65,Game Plot,Zhejiang,Positive
video26,0.5,Social Interaction,Guizhou,Neutral
video22,0.85,Social Interaction,Sichuan,Highly Positive
video56,0.852,Game Experience,Jiangsu,Highly Positive
video46,0.75,Social Interaction,Beijing,Positive
video67,0.5,Social Interaction,Hebei,Neutral
video50,0.852,Game Plot,Sichuan,Highly Positive
video49,0.925,Game Experience,Guangdong,Highly Positive
video59,0.45,Audience Reaction,Zhejiang,Neutral
video41,0.75,Audience Reaction,Shanxi,Positive
video47,0.85,Audience Reaction,Shandong,Highly Positive
video67,0.5,Game Experience,Jiangsu,Neutral
video14,0.5,Social Interaction,Jilin,Neutral
video6,0.5,Social Interaction,Jiangsu,Neutral
video59,0.925,Audience Anticipation,Guangxi,Highly Positive
video46,0.15,Social Interaction,Yunnan,Highly Negative
video80,0.45,Social Interaction,Shanghai,Neutral
video80,0.888,Social Interaction,Shanghai,Highly Positive
video46,0.85,Game Design,Guangdong,Highly Positive
video82,0.75,Audience Reaction,Heilongjiang,Positive
video89,0.75,Audience Reaction,Shaanxi,Positive
video65,0.925,Audience Feedback,Jiangxi,Highly Positive
video6,0.75,Social Interaction,Hubei,Positive
video60,0.85,Game Experience,Anhui,Highly Positive
video6,0.85,Audience Reaction,Shanxi,Highly Positive
video1,0.235,Audience Reaction,Shanghai,Negative
video6,0.5,Social Interaction,Shandong,Neutral
video76,0.35,Game Experience,Shanxi,Negative
video64,0.85,Social Interaction,Jiangxi,Highly Positive
video54,0.888,Audience Reaction,Guangdong,Highly Positive
video1,0.95,Social Interaction,Shandong,Highly Positive
video59,0.5,Social Interaction,Guangdong,Neutral
video59,0.35,Game Plot,Guangxi,Negative
video6,0.5,Social Interaction,Zhejiang,Neutral
video14,0.95,Audience Reaction,Zhejiang,Highly Positive
video5,0.95,Audience Reaction,Jilin,Highly Positive
video17,0.5,Game Design,Sichuan,Neutral
video14,0.852,Audience Reaction,Xinjiang,Highly Positive
video80,0.95,Social Interaction,Shanghai,Highly Positive
video41,0.75,Game Experience,Hebei,Positive
video54,0.5,Social Interaction,Guangdong,Neutral
video6,0.753,Game Plot,Guangxi,Positive
video80,0.925,Audience Reaction,Shaanxi,Highly Positive
video50,0.65,Social Interaction,Guangdong,Positive
video6,0.5,Social Interaction,Henan,Neutral
video88,0.925,Audience Feedback,Anhui,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video14,0.95,Audience Reaction,Sichuan,Highly Positive
video49,0.45,Game Plot,Hunan,Neutral
video15,0.85,Audience Reaction,Sichuan,Highly Positive
video14,0.6,Social Interaction,Guangdong,Positive
video27,0.652,Audience Feedback,Jiangsu,Positive
video56,0.85,Audience Anticipation,Guangdong,Highly Positive
video1,0.75,Social Interaction,Guangxi,Positive
video17,0.85,Game Design,Shaanxi,Highly Positive
video15,0.925,Audience Reaction,Liaoning,Highly Positive
video67,0.5,Game Experience,Beijing,Neutral
video80,0.25,Audience Reaction,Fujian,Negative
video56,0.75,Audience Reaction,Zhejiang,Positive
video81,0.95,Audience Reaction,Guangdong,Highly Positive
video47,0.85,Game Design,Guangdong,Highly Positive
video28,0.65,Audience Feedback,Shanghai,Positive
video50,0.852,Game Plot,Shandong,Highly Positive
video56,0.5,Social Interaction,Fujian,Neutral
video56,0.75,Audience Reaction,Zhejiang,Positive
video23,0.95,Audience Reaction,Shandong,Highly Positive
video59,0.25,Game Plot,Shaanxi,Negative
video62,0.925,Game Design,Jilin,Highly Positive
video80,0.5,Social Interaction,Hebei,Neutral
video48,0.85,Audience Reaction,Shanghai,Highly Positive
video6,0.5,Social Interaction,Henan,Neutral
video1,0.925,Game Plot,Jiangxi,Highly Positive
video82,0.75,Social Interaction,Jilin,Positive
video40,0.753,Audience Reaction,Hubei,Positive
video21,0.85,Audience Anticipation,Inner Mongolia,Highly Positive
video6,0.75,Social Interaction,Fujian,Positive
video1,0.925,Audience Reaction,Hubei,Highly Positive
video15,0.925,Social Interaction,Shanxi,Highly Positive
video14,0.925,Social Interaction,Jiangsu,Highly Positive
video1,0.5,Social Interaction,Guangdong,Neutral
video81,0.25,Game Experience,Zhejiang,Negative
video6,0.45,Social Interaction,Shandong,Neutral
video9,0.75,Audience Reaction,Guizhou,Positive
video60,0.35,Game Experience,Fujian,Negative
video60,0.5,Game Plot,Zhejiang,Neutral
video77,0.5,Information Share,Jiangxi,Neutral
video50,0.35,Social Interaction,Shandong,Negative
video60,0.5,Information Share,Shanghai,Neutral
video50,0.65,Game Plot,Anhui,Positive
video56,0.5,Audience Reaction,Guangdong,Neutral
video47,0.85,Audience Reaction,Guizhou,Highly Positive
video54,0.5,Social Interaction,Shanghai,Neutral
video54,0.45,Audience Reaction,Guangdong,Neutral
video6,0.5,Social Interaction,Jiangxi,Neutral
video80,0.654,Social Interaction,Guangdong,Positive
video80,0.5,Game Requirement,Shandong,Neutral
video56,0.45,Audience Reaction,Jiangxi,Neutral
video1,0.875,Game Plot,Shaanxi,Highly Positive
video80,0.85,Game Experience,Guangxi,Highly Positive
video46,0.85,Game Plot,Shanghai,Highly Positive
video82,0.65,Information Share,Jiangsu,Positive
video76,0.95,Audience Reaction,Inner Mongolia,Highly Positive
video42,0.2,Social Interaction,Unknown,Negative
video50,0.654,Game Plot,Shandong,Positive
video74,0.75,Audience Reaction,Shaanxi,Positive
video76,0.5,Game Requirement,Shanghai,Neutral
video41,0.753,Social Interaction,Shandong,Positive
video59,0.5,Social Interaction,Henan,Neutral
video50,0.925,Audience Reaction,Jilin,Highly Positive
video6,0.75,Social Interaction,Shandong,Positive
video36,0.456,Game Experience,Beijing,Neutral
video80,0.45,Audience Reaction,Guangdong,Neutral
video14,0.5,Social Interaction,Hebei,Neutral
video88,0.85,Social Interaction,Shaanxi,Highly Positive
video59,0.5,Social Interaction,Zhejiang,Neutral
video5,0.85,Audience Reaction,Anhui,Highly Positive
video70,0.75,Audience Feedback,Henan,Positive
video14,0.85,Social Interaction,Shanghai,Highly Positive
video46,0.925,Audience Reaction,Beijing,Highly Positive
video56,0.5,Social Interaction,Zhejiang,Neutral
video6,0.55,Social Interaction,Jiangsu,Neutral
video56,0.85,Progress and Updates,Shandong,Highly Positive
video6,0.55,Social Interaction,Hainan,Neutral
video80,0.65,Game Design,Jiangsu,Positive
video2,0.95,Audience Reaction,Jiangsu,Highly Positive
video47,0.25,Game Experience,Yunnan,Negative
video86,0.456,Game Experience,Guangdong,Neutral
video26,0.15,Information Share,Liaoning,Highly Negative
video56,0.852,Audience Reaction,Fujian,Highly Positive
video44,0.45,Social Interaction,Jiangsu,Neutral
video49,0.456,Audience Reaction,Guizhou,Neutral
video6,0.5,Social Interaction,Zhejiang,Neutral
video59,1.0,Audience Reaction,Henan,Highly Positive
video67,0.925,Game Design,Henan,Highly Positive
video46,0.825,Game Plot,Chongqing,Highly Positive
video85,0.925,Game Experience,Guangdong,Highly Positive
video11,0.25,Game Experience,Henan,Negative
video80,0.5,Progress and Updates,Hubei,Neutral
video41,0.357,Game Experience,Jilin,Negative
video6,0.5,Audience Reaction,Shanghai,Neutral
video48,0.852,Audience Reaction,Guangdong,Highly Positive
video80,0.75,Social Interaction,Sichuan,Positive
video6,0.5,Social Interaction,Fujian,Neutral
video6,0.5,Social Interaction,Hong Kong,Neutral
video56,0.5,Audience Reaction,Shanghai,Neutral
video47,0.95,Social Interaction,Jiangsu,Highly Positive
video47,0.75,Audience Reaction,Sichuan,Positive
video82,0.5,Audience Reaction,Shandong,Neutral
video56,0.75,Social Interaction,Liaoning,Positive
video80,0.85,Game Experience,Guangdong,Highly Positive
video46,0.85,Audience Reaction,Beijing,Highly Positive
video6,0.5,Social Interaction,Shandong,Neutral
video50,0.75,Game Experience,Heilongjiang,Positive
video62,0.85,Game Design,Heilongjiang,Highly Positive
video6,0.5,Social Interaction,Jilin,Neutral
video11,0.25,Progress and Updates,Hunan,Negative
video28,0.923,Game Plot,Hunan,Highly Positive
video59,0.985,Audience Reaction,Guizhou,Highly Positive
video75,0.75,Game Plot,Guangdong,Positive
video46,0.25,Audience Feedback,Shandong,Negative
video59,0.5,Information Share,Shandong,Neutral
video81,0.85,Audience Reaction,Jiangsu,Highly Positive
video59,0.5,Social Interaction,Sichuan,Neutral
video62,0.85,Social Interaction,Guangdong,Highly Positive
video76,0.85,Audience Reaction,Hebei,Highly Positive
video3,0.5,Game Experience,Henan,Neutral
video47,0.35,Social Interaction,Inner Mongolia,Negative
video6,0.5,Game Plot,Henan,Neutral
video16,0.925,Audience Reaction,Shaanxi,Highly Positive
video50,0.5,Social Interaction,Shanxi,Neutral
video56,0.75,Game Experience,Hainan,Positive
video49,0.25,Audience Reaction,Guangxi,Negative
video59,0.35,Game Experience,Guangdong,Negative
video80,0.75,Game Plot,Henan,Positive
video27,0.925,Audience Reaction,Zhejiang,Highly Positive
video41,0.925,Audience Anticipation,Jilin,Highly Positive
video88,0.95,Social Interaction,Gansu,Highly Positive
video60,0.5,Game Plot,Xinjiang,Neutral
video2,0.35,Game Design,Zhejiang,Negative
video14,0.85,Social Interaction,Guangdong,Highly Positive
video1,0.925,Audience Anticipation,Guangdong,Highly Positive
video13,0.95,Audience Reaction,Beijing,Highly Positive
video49,0.5,Social Interaction,Hunan,Neutral
video36,0.925,Game Experience,Jiangsu,Highly Positive
video60,0.15,Game Experience,Inner Mongolia,Highly Negative
video56,0.5,Game Plot,Guangdong,Neutral
video26,0.25,Social Interaction,Liaoning,Negative
video75,0.75,Game Plot,Jiangsu,Positive
video5,0.5,Audience Feedback,Zhejiang,Neutral
video16,0.925,Audience Reaction,Shaanxi,Highly Positive
video14,0.5,Social Interaction,Yunnan,Neutral
video60,0.95,Information Share,Hunan,Highly Positive
video15,0.85,Social Interaction,Anhui,Highly Positive
video49,0.75,Game Plot,Zhejiang,Positive
video50,0.925,Game Design,Anhui,Highly Positive
video13,0.5,Audience Anticipation,Inner Mongolia,Neutral
video59,0.3,Social Interaction,Shandong,Negative
video14,0.5,Social Interaction,Xinjiang,Neutral
video46,0.5,Social Interaction,Shanxi,Neutral
video27,0.85,Game Design,Hong Kong,Highly Positive
video2,0.85,Game Design,Henan,Highly Positive
video59,0.789,Game Plot,Yunnan,Positive
video59,0.45,Audience Feedback,Beijing,Neutral
video80,0.925,Audience Reaction,Zhejiang,Highly Positive
video80,0.652,Social Interaction,Hunan,Positive
video80,0.95,Social Interaction,Jiangsu,Highly Positive
video67,0.85,Progress and Updates,Hebei,Highly Positive
video47,0.85,Audience Reaction,Liaoning,Highly Positive
video14,0.95,Audience Reaction,Guangdong,Highly Positive
video49,0.5,Social Interaction,Jiangsu,Neutral
video80,0.75,Social Interaction,Hebei,Positive
video60,0.5,Social Interaction,Zhejiang,Neutral
video56,0.75,Progress and Updates,Zhejiang,Positive
video7,0.85,Game Experience,Hubei,Highly Positive
video56,0.85,Audience Reaction,Hubei,Highly Positive
video60,0.35,Audience Reaction,Sichuan,Negative
video56,0.35,Game Plot,Liaoning,Negative
video41,0.5,Audience Reaction,Heilongjiang,Neutral
video56,0.85,Game Experience,Zhejiang,Highly Positive
video26,0.15,Social Interaction,Jiangsu,Highly Negative
video48,0.888,Audience Reaction,Hebei,Highly Positive
video59,0.852,Game Plot,Hunan,Highly Positive
video14,0.95,Audience Reaction,Sichuan,Highly Positive
video6,0.5,Social Interaction,Jiangsu,Neutral
video67,0.0,Audience Feedback,Shandong,Highly Negative
video56,0.75,Audience Reaction,Henan,Positive
video6,0.5,Social Interaction,Shandong,Neutral
video12,0.5,Game Experience,Guangxi,Neutral
video88,0.85,Game Experience,Shanghai,Highly Positive
video1,0.0,Social Interaction,Fujian,Highly Negative
video59,0.25,Game Experience,Shaanxi,Negative
video88,0.456,Social Interaction,Anhui,Neutral
video14,0.95,Audience Reaction,Henan,Highly Positive
video88,0.5,Game Experience,Zhejiang,Neutral
video27,0.852,Audience Feedback,Unknown,Highly Positive
video59,0.75,Game Experience,Xinjiang,Positive
video75,0.85,Game Plot,Jiangsu,Highly Positive
video6,0.5,Social Interaction,Hunan,Neutral
video50,0.789,Game Design,Hebei,Positive
video80,0.85,Game Experience,Zhejiang,Highly Positive
video1,0.5,Game Plot,Anhui,Neutral
video56,0.5,Social Interaction,Sichuan,Neutral
video50,0.5,Game Plot,Jiangxi,Neutral
video6,0.5,Social Interaction,Jiangxi,Neutral
video6,0.0,Social Interaction,Fujian,Highly Negative
video63,0.25,Audience Reaction,Jiangxi,Negative
video6,0.5,Social Interaction,Anhui,Neutral
video41,0.95,Social Interaction,Zhejiang,Highly Positive
video36,0.45,Game Requirement,Liaoning,Neutral
video8,0.75,Game Experience,Shanghai,Positive
video40,0.85,Social Interaction,Guangdong,Highly Positive
video59,0.15,Social Interaction,Tianjin,Highly Negative
video1,0.652,Social Interaction,Xinjiang,Positive
video40,0.456,Social Interaction,Shanghai,Neutral
video15,0.925,Social Interaction,Guangdong,Highly Positive
video80,0.15,Game Experience,Guangdong,Highly Negative
video47,0.5,Social Interaction,Hubei,Neutral
video15,0.75,Social Interaction,Shaanxi,Positive
video89,0.925,Social Interaction,Heilongjiang,Highly Positive
video26,0.5,Social Interaction,Hebei,Neutral
video62,0.852,Social Interaction,Guizhou,Highly Positive
video6,0.5,Audience Anticipation,Beijing,Neutral
video6,0.45,Social Interaction,Zhejiang,Neutral
video6,0.85,Social Interaction,Beijing,Highly Positive
video46,0.456,Audience Reaction,Shanghai,Neutral
video54,0.75,Social Interaction,Guangdong,Positive
video6,0.15,Progress and Updates,Henan,Highly Negative
video24,0.5,Social Interaction,Sichuan,Neutral
video5,0.95,Social Interaction,Fujian,Highly Positive
video60,0.65,Audience Feedback,Sichuan,Positive
video6,0.25,Social Interaction,Shanghai,Negative
video2,0.852,Game Experience,Liaoning,Highly Positive
video76,0.456,Game Experience,Anhui,Neutral
video17,0.95,Social Interaction,Jiangsu,Highly Positive
video22,0.5,Social Interaction,Guangdong,Neutral
video55,0.852,Progress and Updates,Zhejiang,Highly Positive
video6,0.5,Social Interaction,Yunnan,Neutral
video60,0.5,Social Interaction,Sichuan,Neutral
video60,0.5,Social Interaction,Jiangsu,Neutral
video26,0.15,Social Interaction,Guangxi,Highly Negative
video81,0.85,Game Experience,Yunnan,Highly Positive
video7,0.95,Audience Reaction,Sichuan,Highly Positive
video14,0.35,Game Experience,Henan,Negative
video14,0.925,Audience Reaction,Fujian,Highly Positive
video80,0.75,Social Interaction,Sichuan,Positive
video41,0.25,Game Plot,Henan,Negative
video6,0.925,Audience Reaction,Beijing,Highly Positive
video6,0.75,Audience Reaction,Jiangxi,Positive
video67,0.925,Audience Reaction,Yunnan,Highly Positive
video50,0.5,Social Interaction,Sichuan,Neutral
video26,0.15,Audience Reaction,Guangdong,Highly Negative
video80,0.5,Social Interaction,Zhejiang,Neutral
video22,0.5,Social Interaction,Henan,Neutral
video6,0.45,Social Interaction,Guangdong,Neutral
video50,0.5,Social Interaction,Guizhou,Neutral
video28,0.35,Game Requirement,Shandong,Negative
video29,0.35,Game Plot,Guangdong,Negative
video6,0.5,Social Interaction,Chongqing,Neutral
video75,0.925,Progress and Updates,Zhejiang,Highly Positive
video7,0.75,Game Experience,Beijing,Positive
video75,0.5,Social Interaction,Sichuan,Neutral
video49,0.65,Audience Reaction,Zhejiang,Positive
video26,0.925,Information Share,Fujian,Highly Positive
video80,0.95,Social Interaction,Guangdong,Highly Positive
video1,0.75,Audience Reaction,Hunan,Positive
video11,0.456,Game Experience,Ningxia,Neutral
video34,0.75,Audience Reaction,Beijing,Positive
video59,0.85,Social Interaction,Jiangsu,Highly Positive
video67,0.925,Game Plot,Beijing,Highly Positive
video14,0.925,Audience Feedback,Jiangsu,Highly Positive
video81,0.5,Game Experience,Xinjiang,Neutral
video6,0.5,Social Interaction,Shaanxi,Neutral
video80,0.456,Audience Reaction,Anhui,Neutral
video56,0.85,Audience Anticipation,Shandong,Highly Positive
video67,0.875,Game Plot,Hebei,Highly Positive
video59,0.852,Game Plot,Guangdong,Highly Positive
video62,0.85,Game Plot,Henan,Highly Positive
video1,0.5,Audience Reaction,Henan,Neutral
video59,0.85,Game Experience,Hunan,Highly Positive
video50,0.357,Game Plot,Beijing,Negative
video81,0.852,Game Experience,Shandong,Highly Positive
video48,0.0,Game Design,Jilin,Highly Negative
video7,0.85,Game Experience,Beijing,Highly Positive
video6,0.5,Social Interaction,Chongqing,Neutral
video14,0.999,Social Interaction,Henan,Highly Positive
video82,0.852,Audience Reaction,Anhui,Highly Positive
video6,0.45,Social Interaction,Hainan,Neutral
video56,0.451,Social Interaction,Guangdong,Neutral
video67,0.85,Game Plot,Taiwan,Highly Positive
video89,0.5,Social Interaction,Hunan,Neutral
video80,0.789,Game Experience,Guangdong,Positive
video47,0.85,Audience Reaction,Guangdong,Highly Positive
video80,0.95,Social Interaction,Hunan,Highly Positive
video6,0.5,Social Interaction,Hunan,Neutral
video59,0.35,Game Experience,Shandong,Negative
video6,0.5,Game Requirement,Guangdong,Neutral
video54,0.95,Social Interaction,Chongqing,Highly Positive
video76,0.75,Game Experience,Jilin,Positive
video54,0.5,Social Interaction,Zhejiang,Neutral
video2,0.5,Social Interaction,Jiangsu,Neutral
video6,0.85,Social Interaction,Shandong,Highly Positive
video68,0.5,Social Interaction,Guangdong,Neutral
video17,0.5,Social Interaction,Sichuan,Neutral
video50,0.5,Social Interaction,Guangdong,Neutral
video46,0.85,Progress and Updates,Guangdong,Highly Positive
video56,0.85,Audience Reaction,Guangdong,Highly Positive
video80,0.5,Social Interaction,Shandong,Neutral
video42,0.15,Social Interaction,Shaanxi,Highly Negative
video54,0.5,Social Interaction,Fujian,Neutral
video80,0.5,Social Interaction,Ningxia,Neutral
video59,0.95,Audience Reaction,Guangxi,Highly Positive
video67,0.5,Audience Reaction,Liaoning,Neutral
video31,0.925,Game Experience,Guangxi,Highly Positive
video11,0.35,Game Experience,Guangdong,Negative
video15,0.75,Audience Reaction,Shanxi,Positive
video6,0.5,Social Interaction,Henan,Neutral
video22,0.85,Audience Reaction,Anhui,Highly Positive
video1,0.85,Game Plot,Hubei,Highly Positive
video6,0.5,Social Interaction,Liaoning,Neutral
video1,0.85,Game Plot,Guangdong,Highly Positive
video56,0.5,Social Interaction,Guangdong,Neutral
video50,0.875,Game Plot,Jiangsu,Highly Positive
video15,0.925,Audience Reaction,Jiangxi,Highly Positive
video8,0.85,Game Plot,Sichuan,Highly Positive
video80,0.852,Social Interaction,Anhui,Highly Positive
video80,0.75,Game Experience,Chongqing,Positive
video26,0.15,Audience Reaction,Shandong,Highly Negative
video38,0.25,Game Experience,Shandong,Negative
video55,0.5,Social Interaction,Hubei,Neutral
video88,0.85,Game Experience,Shandong,Highly Positive
video67,0.925,Game Plot,Liaoning,Highly Positive
video50,0.852,Audience Reaction,Zhejiang,Highly Positive
video6,0.5,Social Interaction,Hubei,Neutral
video6,0.5,Social Interaction,Hebei,Neutral
video54,0.925,Audience Reaction,Tibet,Highly Positive
video1,0.85,Game Plot,Fujian,Highly Positive
video15,0.5,Social Interaction,Hunan,Neutral
video50,0.85,Game Design,Jiangsu,Highly Positive
video14,0.45,Social Interaction,Guangdong,Neutral
video46,0.85,Game Plot,Sichuan,Highly Positive
video61,0.95,Audience Reaction,Hubei,Highly Positive
video26,0.15,Social Interaction,Hebei,Highly Negative
video56,0.925,Audience Reaction,Shaanxi,Highly Positive
video6,0.5,Social Interaction,Shanghai,Neutral
video76,0.5,Game Requirement,Jiangxi,Neutral
video88,0.5,Information Share,Inner Mongolia,Neutral
video60,0.85,Information Share,Anhui,Highly Positive
video14,0.95,Audience Reaction,Liaoning,Highly Positive
video41,0.5,Audience Reaction,Beijing,Neutral
video26,0.65,Audience Feedback,Inner Mongolia,Positive
video50,0.85,Game Plot,Guangdong,Highly Positive
video50,0.5,Social Interaction,Anhui,Neutral
video56,0.85,Audience Reaction,Guangdong,Highly Positive
video11,0.5,Social Interaction,Henan,Neutral
video13,1.0,Audience Reaction,Hubei,Highly Positive
video6,0.5,Social Interaction,Hubei,Neutral
video82,0.5,Social Interaction,Hebei,Neutral
video59,0.15,Social Interaction,Jiangsu,Highly Negative
video11,0.85,Audience Reaction,Hebei,Highly Positive
video14,0.95,Audience Reaction,Sichuan,Highly Positive
video80,0.852,Game Experience,Jiangsu,Highly Positive
video47,0.5,Social Interaction,Guangdong,Neutral
video6,0.5,Social Interaction,Beijing,Neutral
video14,0.25,Audience Feedback,Liaoning,Negative
video6,0.5,Social Interaction,Sichuan,Neutral
video72,0.5,Social Interaction,Jiangsu,Neutral
video50,0.85,Game Plot,Hunan,Highly Positive
video6,0.5,Social Interaction,Anhui,Neutral
video55,0.925,Audience Reaction,Guangdong,Highly Positive
video59,0.925,Audience Reaction,Xinjiang,Highly Positive
video2,0.75,Social Interaction,Guangdong,Positive
video6,0.888,Social Interaction,Zhejiang,Highly Positive
video64,0.5,Game Plot,Guangdong,Neutral
video22,0.75,Audience Reaction,Henan,Positive
video59,0.852,Game Experience,Hebei,Highly Positive
video6,0.85,Game Experience,Shandong,Highly Positive
video60,0.5,Social Interaction,Sichuan,Neutral
video55,0.925,Audience Reaction,Guangdong,Highly Positive
video56,0.95,Audience Reaction,Hunan,Highly Positive
video36,0.65,Game Experience,Henan,Positive
video1,0.85,Game Plot,Jilin,Highly Positive
video28,0.25,Audience Reaction,Henan,Negative
video47,0.85,Audience Reaction,Guangxi,Highly Positive
