video,Sentiment Score,Classification,Label
video82,0.5,Game Plot,Neutral
video4,0.35,Game Design,Negative
video40,0.95,Audience Anticipation,Highly Positive
video75,0.75,Information Share,Positive
video106,0.925,Social Interaction,Highly Positive
video78,0.5,Social Interaction,Neutral
video9,0.75,Audience Reaction,Positive
video85,0.456,Audience Reaction,Neutral
video72,0.65,Social Interaction,Positive
video3,0.95,Audience Feedback,Highly Positive
video112,0.25,Game Experience,Negative
video2,0.985,Audience Anticipation,Highly Positive
video82,0.85,Audience Reaction,Highly Positive
video39,0.985,Audience Reaction,Highly Positive
video107,0.925,Audience Reaction,Highly Positive
video82,0.75,Audience Reaction,Positive
video8,0.35,Audience Anticipation,Negative
video51,0.75,Game Plot,Positive
video28,0.5,Information Share,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.25,Audience Reaction,Negative
video111,0.235,Audience Feedback,Negative
video14,0.15,Social Interaction,Highly Negative
video47,0.75,Game Experience,Positive
video82,0.5,Audience Anticipation,Neutral
video3,0.456,Social Interaction,Neutral
video82,0.5,Audience Reaction,Neutral
video8,0.85,Audience Reaction,Highly Positive
video61,0.5,Game Design,Neutral
video82,0.5,Game Design,Neutral
video17,0.65,Game Experience,Positive
video23,0.456,Audience Reaction,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video45,0.925,Game Plot,Highly Positive
video16,0.5,Social Interaction,Neutral
video15,0.5,Game Experience,Neutral
video82,0.5,Social Interaction,Neutral
video111,0.85,Audience Reaction,Highly Positive
video90,0.35,Game Experience,Negative
video29,0.85,Game Design,Highly Positive
video87,0.852,Game Experience,Highly Positive
video4,0.95,Audience Reaction,Highly Positive
video82,0.0,Audience Reaction,Highly Negative
video82,0.75,Audience Reaction,Positive
video82,0.456,Audience Reaction,Neutral
video44,0.5,Social Interaction,Neutral
video111,0.35,Audience Feedback,Negative
video29,0.5,Audience Reaction,Neutral
video116,0.85,Audience Reaction,Highly Positive
video56,0.75,Game Plot,Positive
video21,0.95,Audience Reaction,Highly Positive
video15,0.25,Audience Feedback,Negative
video82,0.95,Audience Reaction,Highly Positive
video4,0.75,Game Design,Positive
video47,0.5,Audience Feedback,Neutral
video81,0.5,Game Design,Neutral
video3,0.75,Game Design,Positive
video114,0.5,Social Interaction,Neutral
video121,0.85,Audience Anticipation,Highly Positive
video82,0.5,Game Design,Neutral
video21,0.335,Game Experience,Negative
video16,0.0,Social Interaction,Highly Negative
video3,0.85,Game Design,Highly Positive
video25,0.15,Audience Reaction,Highly Negative
video83,0.925,Social Interaction,Highly Positive
video103,0.5,Game Experience,Neutral
video47,0.75,Social Interaction,Positive
video60,0.888,Information Share,Highly Positive
video82,0.5,Audience Reaction,Neutral
video24,0.35,Audience Feedback,Negative
video8,0.985,Game Experience,Highly Positive
video42,0.95,Audience Reaction,Highly Positive
video40,0.35,Progress and Updates,Negative
video47,0.75,Social Interaction,Positive
video3,0.5,Audience Reaction,Neutral
video91,0.25,Social Interaction,Negative
video29,0.925,Social Interaction,Highly Positive
video4,0.925,Audience Reaction,Highly Positive
video44,0.15,Audience Reaction,Highly Negative
video85,0.25,Game Experience,Negative
video4,0.5,Audience Feedback,Neutral
video47,0.852,Audience Anticipation,Highly Positive
video32,0.85,Audience Anticipation,Highly Positive
video20,0.5,Social Interaction,Neutral
video82,0.5,Audience Reaction,Neutral
video28,0.888,Information Share,Highly Positive
video47,0.5,Audience Reaction,Neutral
video25,0.75,Audience Reaction,Positive
video85,0.25,Audience Reaction,Negative
video82,0.35,Social Interaction,Negative
video31,0.75,Social Interaction,Positive
video82,0.5,Game Design,Neutral
video84,0.852,Audience Reaction,Highly Positive
video4,0.5,Information Share,Neutral
video51,0.652,Social Interaction,Positive
video3,0.5,Audience Reaction,Neutral
video59,0.852,Social Interaction,Highly Positive
video41,0.5,Social Interaction,Neutral
video55,0.2,Audience Reaction,Negative
video44,0.5,Social Interaction,Neutral
video82,0.75,Game Plot,Positive
video25,0.95,Audience Anticipation,Highly Positive
video82,0.0,Social Interaction,Highly Negative
video82,0.95,Audience Reaction,Highly Positive
video82,0.85,Audience Reaction,Highly Positive
video75,0.15,Social Interaction,Highly Negative
video33,0.25,Audience Feedback,Negative
video3,0.75,Social Interaction,Positive
video4,0.0,Social Interaction,Highly Negative
video24,0.357,Audience Feedback,Negative
video47,0.357,Audience Reaction,Negative
video89,0.5,Progress and Updates,Neutral
video59,0.75,Social Interaction,Positive
video4,0.5,Information Share,Neutral
video27,0.5,Game Design,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Audience Reaction,Neutral
video31,0.652,Game Design,Positive
video98,0.25,Game Experience,Negative
video47,0.75,Social Interaction,Positive
video61,0.5,Information Share,Neutral
video82,0.15,Audience Reaction,Highly Negative
video44,0.5,Social Interaction,Neutral
video23,0.75,Social Interaction,Positive
video104,0.5,Information Share,Neutral
video50,0.925,Game Design,Highly Positive
video41,0.85,Social Interaction,Highly Positive
video59,0.456,Game Plot,Neutral
video3,0.5,Game Design,Neutral
video121,0.5,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video38,0.235,Audience Feedback,Negative
video62,0.85,Audience Reaction,Highly Positive
video60,0.25,Audience Reaction,Negative
video81,0.75,Game Design,Positive
video83,0.15,Audience Reaction,Highly Negative
video82,0.85,Social Interaction,Highly Positive
video23,0.5,Audience Reaction,Neutral
video3,0.25,Audience Feedback,Negative
video82,0.85,Audience Reaction,Highly Positive
video51,0.925,Audience Reaction,Highly Positive
video51,0.5,Social Interaction,Neutral
video31,0.25,Audience Feedback,Negative
video10,0.15,Audience Reaction,Highly Negative
video4,0.65,Audience Feedback,Positive
video82,0.5,Game Design,Neutral
video82,0.852,Audience Reaction,Highly Positive
video50,0.5,Audience Feedback,Neutral
video33,0.5,Audience Anticipation,Neutral
video48,0.5,Audience Feedback,Neutral
video21,0.5,Game Requirement,Neutral
video121,0.95,Social Interaction,Highly Positive
video82,0.5,Game Design,Neutral
video97,0.75,Audience Reaction,Positive
video10,0.95,Game Experience,Highly Positive
video25,0.456,Game Requirement,Neutral
video82,0.5,Game Design,Neutral
video82,0.5,Audience Reaction,Neutral
video2,0.35,Audience Feedback,Negative
video54,0.25,Audience Anticipation,Negative
video111,0.85,Audience Anticipation,Highly Positive
video10,0.852,Game Design,Highly Positive
video3,0.925,Audience Reaction,Highly Positive
video71,0.25,Audience Reaction,Negative
video92,0.85,Game Design,Highly Positive
video82,0.5,Audience Reaction,Neutral
video81,0.75,Audience Reaction,Positive
video67,0.45,Audience Feedback,Neutral
video39,0.0,Audience Reaction,Highly Negative
video21,0.25,Audience Feedback,Negative
video72,0.5,Game Plot,Neutral
video3,0.925,Game Design,Highly Positive
video23,0.5,Audience Feedback,Neutral
video82,0.65,Game Design,Positive
video82,0.75,Audience Reaction,Positive
video106,0.85,Game Design,Highly Positive
video82,0.5,Social Interaction,Neutral
video3,0.45,Audience Anticipation,Neutral
video90,0.456,Audience Reaction,Neutral
video53,0.95,Audience Anticipation,Highly Positive
video5,0.925,Audience Feedback,Highly Positive
video47,0.357,Audience Reaction,Negative
video82,0.25,Audience Reaction,Negative
video97,0.5,Social Interaction,Neutral
video92,0.45,Game Requirement,Neutral
video2,0.45,Audience Reaction,Neutral
video23,0.25,Game Experience,Negative
video36,0.5,Information Share,Neutral
video82,0.5,Audience Anticipation,Neutral
video53,0.25,Social Interaction,Negative
video9,0.75,Audience Anticipation,Positive
video60,0.65,Game Experience,Positive
video19,0.75,Game Design,Positive
video3,0.925,Game Plot,Highly Positive
video3,0.5,Information Share,Neutral
video111,0.5,Audience Anticipation,Neutral
video8,0.456,Game Experience,Neutral
video16,0.95,Audience Reaction,Highly Positive
video97,0.5,Game Experience,Neutral
video82,0.5,Social Interaction,Neutral
video117,0.925,Game Design,Highly Positive
video3,0.5,Game Requirement,Neutral
video53,0.5,Audience Anticipation,Neutral
video55,0.85,Audience Reaction,Highly Positive
video30,0.95,Audience Anticipation,Highly Positive
video51,0.5,Social Interaction,Neutral
video21,0.5,Social Interaction,Neutral
video4,0.75,Social Interaction,Positive
video43,0.25,Game Requirement,Negative
video47,0.5,Audience Reaction,Neutral
video60,0.357,Game Experience,Negative
video8,0.5,Social Interaction,Neutral
video97,0.95,Audience Reaction,Highly Positive
video84,0.5,Social Interaction,Neutral
video28,0.925,Game Design,Highly Positive
video33,0.85,Game Experience,Highly Positive
video82,0.25,Audience Reaction,Negative
video82,0.5,Audience Anticipation,Neutral
video50,0.65,Audience Reaction,Positive
video82,0.75,Game Design,Positive
video3,0.852,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video4,0.35,Game Design,Negative
video82,0.5,Game Design,Neutral
video117,0.95,Audience Reaction,Highly Positive
video23,0.25,Audience Reaction,Negative
video23,0.5,Information Share,Neutral
video16,0.85,Game Design,Highly Positive
video75,0.75,Game Plot,Positive
video4,0.75,Social Interaction,Positive
video3,0.75,Social Interaction,Positive
video82,0.753,Game Plot,Positive
video82,0.5,Audience Anticipation,Neutral
video24,0.65,Game Experience,Positive
video82,0.456,Social Interaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video4,0.75,Social Interaction,Positive
video81,0.75,Game Plot,Positive
video92,0.15,Audience Reaction,Highly Negative
video8,0.5,Social Interaction,Neutral
video82,0.25,Audience Reaction,Negative
video19,0.925,Progress and Updates,Highly Positive
video3,0.5,Information Share,Neutral
video82,0.5,Audience Anticipation,Neutral
video42,0.925,Game Design,Highly Positive
video62,0.35,Audience Feedback,Negative
video92,0.5,Social Interaction,Neutral
video31,0.35,Audience Reaction,Negative
video82,0.75,Game Plot,Positive
video3,0.95,Audience Reaction,Highly Positive
video58,0.75,Game Plot,Positive
video82,0.25,Audience Reaction,Negative
video2,0.85,Audience Reaction,Highly Positive
video4,0.5,Audience Anticipation,Neutral
video60,0.65,Game Experience,Positive
video82,0.5,Social Interaction,Neutral
video60,0.357,Game Experience,Negative
video4,0.5,Information Share,Neutral
video82,0.25,Audience Reaction,Negative
video3,0.888,Information Share,Highly Positive
video10,0.95,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video4,0.85,Audience Reaction,Highly Positive
video3,0.85,Audience Anticipation,Highly Positive
video50,0.925,Audience Reaction,Highly Positive
video25,0.888,Information Share,Highly Positive
video49,0.654,Game Experience,Positive
video2,0.5,Social Interaction,Neutral
video82,0.5,Game Plot,Neutral
video19,0.925,Game Experience,Highly Positive
video93,0.5,Audience Feedback,Neutral
video9,0.75,Audience Anticipation,Positive
video3,0.5,Game Plot,Neutral
video42,0.95,Audience Reaction,Highly Positive
video118,0.5,Social Interaction,Neutral
video30,0.75,Social Interaction,Positive
video92,0.5,Audience Reaction,Neutral
video84,0.85,Game Plot,Highly Positive
video82,0.75,Audience Anticipation,Positive
video47,0.95,Audience Reaction,Highly Positive
video54,0.75,Game Design,Positive
video82,0.65,Game Design,Positive
video3,0.5,Information Share,Neutral
video70,0.357,Audience Reaction,Negative
video82,0.5,Game Plot,Neutral
video40,0.5,Game Design,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.75,Game Plot,Positive
video6,0.85,Social Interaction,Highly Positive
video29,0.85,Audience Anticipation,Highly Positive
video117,0.75,Audience Reaction,Positive
video116,0.95,Audience Reaction,Highly Positive
video3,0.5,Information Share,Neutral
video59,0.25,Audience Reaction,Negative
video8,0.85,Information Share,Highly Positive
video66,0.75,Game Design,Positive
video79,0.5,Game Requirement,Neutral
video54,0.25,Social Interaction,Negative
video50,0.5,Social Interaction,Neutral
video85,0.5,Social Interaction,Neutral
video47,0.65,Game Design,Positive
video82,0.5,Social Interaction,Neutral
video82,0.25,Social Interaction,Negative
video23,0.5,Social Interaction,Neutral
video38,0.95,Information Share,Highly Positive
video112,0.85,Audience Reaction,Highly Positive
video117,0.85,Social Interaction,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video84,0.75,Game Plot,Positive
video59,0.65,Game Experience,Positive
video121,0.925,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video82,0.85,Audience Reaction,Highly Positive
video111,0.25,Audience Reaction,Negative
video3,0.75,Game Plot,Positive
video24,0.85,Audience Reaction,Highly Positive
video60,0.25,Game Experience,Negative
video3,0.75,Game Design,Positive
video81,0.5,Information Share,Neutral
video47,0.85,Audience Reaction,Highly Positive
video51,0.75,Social Interaction,Positive
video80,0.5,Audience Anticipation,Neutral
video102,0.5,Audience Reaction,Neutral
video3,0.5,Game Plot,Neutral
video82,0.75,Game Plot,Positive
video3,0.25,Audience Feedback,Negative
video50,0.925,Audience Anticipation,Highly Positive
video60,0.357,Audience Reaction,Negative
video55,0.5,Social Interaction,Neutral
video55,0.5,Game Design,Neutral
video4,0.65,Information Share,Positive
video82,0.5,Audience Anticipation,Neutral
video82,0.75,Social Interaction,Positive
video82,0.65,Game Plot,Positive
video44,0.456,Audience Reaction,Neutral
video51,0.5,Audience Feedback,Neutral
video2,0.25,Audience Reaction,Negative
video8,0.65,Social Interaction,Positive
video10,0.5,Game Design,Neutral
video82,0.25,Audience Reaction,Negative
video85,0.25,Game Experience,Negative
video60,0.75,Game Experience,Positive
video82,0.5,Game Plot,Neutral
video10,0.925,Game Design,Highly Positive
video82,0.5,Social Interaction,Neutral
video97,0.65,Game Experience,Positive
video59,0.75,Game Experience,Positive
video3,0.5,Audience Feedback,Neutral
video62,0.5,Social Interaction,Neutral
video111,0.25,Audience Feedback,Negative
video80,0.65,Game Experience,Positive
video82,0.75,Social Interaction,Positive
video32,0.75,Game Plot,Positive
video4,0.925,Audience Reaction,Highly Positive
video21,0.85,Game Design,Highly Positive
video75,0.75,Game Plot,Positive
video18,0.75,Game Plot,Positive
video82,0.5,Audience Reaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.75,Game Design,Positive
video2,0.75,Game Plot,Positive
video23,0.5,Information Share,Neutral
video3,0.85,Information Share,Highly Positive
video82,0.5,Game Design,Neutral
video47,0.45,Game Experience,Neutral
video54,0.75,Audience Reaction,Positive
video25,0.95,Audience Reaction,Highly Positive
video85,0.357,Audience Reaction,Negative
video121,0.5,Social Interaction,Neutral
video47,0.75,Audience Reaction,Positive
video82,0.5,Game Plot,Neutral
video29,0.85,Audience Reaction,Highly Positive
video92,0.25,Social Interaction,Negative
video81,0.0,Social Interaction,Highly Negative
video43,0.2,Audience Reaction,Negative
video2,0.75,Audience Anticipation,Positive
video82,0.35,Game Experience,Negative
video82,0.5,Audience Anticipation,Neutral
video14,0.5,Audience Reaction,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.85,Audience Reaction,Highly Positive
video114,0.5,Audience Reaction,Neutral
video111,0.85,Game Requirement,Highly Positive
video97,0.65,Audience Reaction,Positive
video82,0.5,Social Interaction,Neutral
video102,0.5,Game Requirement,Neutral
video82,0.5,Game Design,Neutral
video112,0.25,Audience Reaction,Negative
video114,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video53,0.15,Audience Reaction,Highly Negative
video38,0.85,Audience Anticipation,Highly Positive
video82,0.65,Audience Feedback,Positive
video82,0.5,Social Interaction,Neutral
video7,0.6,Social Interaction,Positive
video82,0.5,Social Interaction,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.357,Audience Reaction,Negative
video82,0.35,Social Interaction,Negative
video3,0.75,Game Design,Positive
video82,0.15,Social Interaction,Highly Negative
video92,0.5,Social Interaction,Neutral
video106,0.25,Audience Reaction,Negative
video67,0.75,Game Design,Positive
video51,0.95,Audience Reaction,Highly Positive
video36,0.456,Audience Reaction,Neutral
video4,0.925,Audience Reaction,Highly Positive
video10,0.25,Audience Feedback,Negative
video50,0.25,Audience Feedback,Negative
video47,0.852,Audience Reaction,Highly Positive
video48,0.5,Game Experience,Neutral
video117,0.95,Audience Reaction,Highly Positive
video23,0.65,Audience Anticipation,Positive
video27,0.25,Audience Feedback,Negative
video39,0.5,Social Interaction,Neutral
video82,0.5,Game Plot,Neutral
video80,0.25,Audience Anticipation,Negative
video4,0.85,Audience Reaction,Highly Positive
video60,0.85,Game Experience,Highly Positive
video82,0.25,Game Experience,Negative
video84,0.35,Game Plot,Negative
video92,0.25,Audience Feedback,Negative
video82,0.5,Social Interaction,Neutral
video80,0.95,Social Interaction,Highly Positive
video87,0.45,Audience Reaction,Neutral
video59,0.65,Game Plot,Positive
video39,0.95,Audience Reaction,Highly Positive
video51,0.2,Audience Feedback,Negative
video29,0.5,Game Plot,Neutral
video72,0.85,Audience Anticipation,Highly Positive
video82,0.5,Audience Feedback,Neutral
video4,0.85,Game Design,Highly Positive
video59,0.85,Game Design,Highly Positive
video73,0.5,Audience Reaction,Neutral
video67,0.652,Game Plot,Positive
video82,0.5,Audience Anticipation,Neutral
video73,0.85,Audience Reaction,Highly Positive
video23,0.357,Social Interaction,Negative
video111,0.5,Audience Anticipation,Neutral
video2,0.75,Audience Feedback,Positive
video3,0.5,Social Interaction,Neutral
video33,0.35,Social Interaction,Negative
video60,0.85,Audience Reaction,Highly Positive
video3,0.5,Social Interaction,Neutral
video82,0.45,Social Interaction,Neutral
video75,0.85,Social Interaction,Highly Positive
video82,0.5,Game Experience,Neutral
video59,0.852,Game Plot,Highly Positive
video82,0.5,Social Interaction,Neutral
video33,0.5,Audience Reaction,Neutral
video10,0.5,Information Share,Neutral
video80,0.5,Audience Feedback,Neutral
video16,0.35,Audience Feedback,Negative
video5,0.95,Game Design,Highly Positive
video41,0.95,Audience Reaction,Highly Positive
video45,0.5,Social Interaction,Neutral
video82,0.75,Audience Feedback,Positive
video5,0.925,Game Design,Highly Positive
video23,0.456,Audience Reaction,Neutral
video116,0.75,Social Interaction,Positive
video3,0.15,Audience Feedback,Highly Negative
video23,0.25,Audience Reaction,Negative
video82,0.15,Social Interaction,Highly Negative
video82,0.45,Social Interaction,Neutral
video75,0.925,Audience Feedback,Highly Positive
video36,0.45,Game Experience,Neutral
video24,0.85,Game Design,Highly Positive
video117,0.85,Game Design,Highly Positive
video47,0.5,Information Share,Neutral
video2,0.5,Game Requirement,Neutral
video10,0.5,Audience Reaction,Neutral
video47,0.75,Game Design,Positive
video75,0.75,Social Interaction,Positive
video92,0.451,Social Interaction,Neutral
video82,0.85,Social Interaction,Highly Positive
video85,0.15,Audience Feedback,Highly Negative
video82,0.5,Social Interaction,Neutral
video121,0.9,Audience Reaction,Highly Positive
video111,0.25,Social Interaction,Negative
video98,0.35,Game Experience,Negative
video8,0.75,Game Plot,Positive
video62,0.85,Audience Anticipation,Highly Positive
video47,0.25,Audience Feedback,Negative
video28,0.75,Audience Reaction,Positive
video55,0.5,Audience Reaction,Neutral
video23,0.25,Game Plot,Negative
video2,0.925,Audience Anticipation,Highly Positive
video16,0.5,Game Requirement,Neutral
video8,0.95,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video3,0.85,Game Design,Highly Positive
video82,0.5,Game Plot,Neutral
video23,0.5,Information Share,Neutral
video3,0.85,Audience Reaction,Highly Positive
video106,0.65,Game Experience,Positive
video50,0.85,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video53,0.5,Progress and Updates,Neutral
video84,0.925,Social Interaction,Highly Positive
video23,0.5,Information Share,Neutral
video8,0.85,Game Design,Highly Positive
video82,0.25,Audience Reaction,Negative
video41,0.95,Audience Reaction,Highly Positive
video104,0.85,Game Plot,Highly Positive
video47,0.95,Audience Reaction,Highly Positive
video106,0.5,Audience Reaction,Neutral
video82,0.654,Game Design,Positive
video114,0.85,Information Share,Highly Positive
video65,0.852,Audience Reaction,Highly Positive
video4,0.15,Social Interaction,Highly Negative
video82,0.5,Game Design,Neutral
video82,0.25,Social Interaction,Negative
video82,0.25,Social Interaction,Negative
video112,0.456,Audience Reaction,Neutral
video106,0.5,Audience Reaction,Neutral
video89,0.5,Progress and Updates,Neutral
video82,0.75,Game Design,Positive
video51,0.65,Audience Reaction,Positive
video82,0.85,Audience Reaction,Highly Positive
video23,0.5,Game Plot,Neutral
video28,0.35,Audience Reaction,Negative
video47,0.15,Audience Reaction,Highly Negative
video82,0.5,Audience Anticipation,Neutral
video23,0.75,Audience Feedback,Positive
video82,0.15,Game Design,Highly Negative
video82,0.5,Social Interaction,Neutral
video59,0.5,Game Design,Neutral
video50,0.35,Social Interaction,Negative
video15,0.95,Audience Reaction,Highly Positive
video82,0.5,Game Design,Neutral
video23,0.5,Social Interaction,Neutral
video92,0.456,Social Interaction,Neutral
video7,0.5,Social Interaction,Neutral
video9,0.65,Audience Anticipation,Positive
video47,0.0,Audience Feedback,Highly Negative
video24,0.85,Game Design,Highly Positive
video3,0.925,Game Design,Highly Positive
video47,0.85,Audience Anticipation,Highly Positive
video23,0.85,Social Interaction,Highly Positive
video53,0.985,Audience Reaction,Highly Positive
video59,0.75,Game Plot,Positive
video8,0.95,Audience Reaction,Highly Positive
video3,0.5,Social Interaction,Neutral
video21,0.75,Game Plot,Positive
video82,0.5,Game Design,Neutral
video2,0.75,Game Design,Positive
video14,0.2,Audience Reaction,Negative
video82,0.75,Social Interaction,Positive
video82,0.5,Social Interaction,Neutral
video54,0.357,Game Experience,Negative
video85,0.35,Social Interaction,Negative
video82,0.5,Audience Anticipation,Neutral
video82,0.45,Social Interaction,Neutral
video23,0.5,Game Design,Neutral
video82,0.85,Audience Anticipation,Highly Positive
video82,0.65,Audience Feedback,Positive
video102,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.5,Game Experience,Neutral
video54,0.5,Audience Feedback,Neutral
video23,0.85,Game Design,Highly Positive
video82,0.85,Game Plot,Highly Positive
video47,0.925,Audience Reaction,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video54,0.35,Audience Reaction,Negative
video55,0.75,Audience Reaction,Positive
video15,0.45,Game Experience,Neutral
video38,0.75,Game Design,Positive
video59,0.75,Social Interaction,Positive
video59,0.75,Game Plot,Positive
video73,0.75,Audience Reaction,Positive
video4,0.85,Game Experience,Highly Positive
video82,0.5,Game Plot,Neutral
video23,0.888,Information Share,Highly Positive
video8,0.25,Game Design,Negative
video13,0.95,Audience Reaction,Highly Positive
video81,0.75,Game Experience,Positive
video10,0.75,Audience Anticipation,Positive
video4,0.925,Game Plot,Highly Positive
video80,0.5,Information Share,Neutral
video82,0.75,Game Plot,Positive
video4,0.25,Social Interaction,Negative
video82,0.75,Audience Reaction,Positive
video62,0.25,Social Interaction,Negative
video76,0.925,Social Interaction,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video3,0.5,Social Interaction,Neutral
video36,0.25,Audience Reaction,Negative
video82,0.5,Audience Anticipation,Neutral
video21,0.45,Information Share,Neutral
video51,0.352,Social Interaction,Negative
video3,0.925,Game Design,Highly Positive
video109,0.5,Social Interaction,Neutral
video44,0.95,Audience Reaction,Highly Positive
video1,0.925,Audience Anticipation,Highly Positive
video102,0.35,Game Experience,Negative
video82,0.75,Audience Reaction,Positive
video82,0.5,Game Experience,Neutral
video13,0.852,Audience Reaction,Highly Positive
video82,0.75,Audience Reaction,Positive
video42,0.5,Information Share,Neutral
video81,0.25,Game Experience,Negative
video82,0.5,Audience Anticipation,Neutral
video33,0.925,Game Plot,Highly Positive
video52,0.95,Game Experience,Highly Positive
video3,0.85,Social Interaction,Highly Positive
video16,0.925,Audience Reaction,Highly Positive
video12,0.5,Audience Reaction,Neutral
video70,0.65,Game Experience,Positive
video82,0.5,Audience Feedback,Neutral
video82,0.75,Game Plot,Positive
video23,0.75,Audience Reaction,Positive
video82,0.5,Game Design,Neutral
video82,0.75,Audience Reaction,Positive
video56,0.15,Audience Reaction,Highly Negative
video13,0.95,Audience Anticipation,Highly Positive
video3,0.925,Game Design,Highly Positive
video30,1.0,Audience Anticipation,Highly Positive
video7,0.652,Audience Reaction,Positive
video53,0.25,Game Design,Negative
video60,0.75,Game Plot,Positive
video89,0.95,Audience Feedback,Highly Positive
video11,0.5,Social Interaction,Neutral
video65,0.95,Social Interaction,Highly Positive
video65,0.55,Audience Reaction,Neutral
video106,0.85,Social Interaction,Highly Positive
video101,0.85,Progress and Updates,Highly Positive
video12,0.25,Audience Feedback,Negative
video117,0.35,Audience Reaction,Negative
video40,0.5,Game Plot,Neutral
video47,0.5,Social Interaction,Neutral
video59,0.925,Game Plot,Highly Positive
video8,0.925,Audience Reaction,Highly Positive
video4,0.925,Social Interaction,Highly Positive
video3,0.5,Audience Reaction,Neutral
video50,1.0,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video8,0.5,Game Design,Neutral
video3,0.15,Audience Reaction,Highly Negative
video67,0.5,Game Plot,Neutral
video80,0.45,Game Experience,Neutral
video82,0.5,Social Interaction,Neutral
video16,0.75,Game Plot,Positive
video3,0.85,Game Plot,Highly Positive
video61,0.5,Audience Reaction,Neutral
video1,1.0,Audience Reaction,Highly Positive
video38,0.5,Social Interaction,Neutral
video4,0.5,Game Plot,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.35,Game Plot,Negative
video8,0.925,Game Design,Highly Positive
video97,0.451,Audience Reaction,Neutral
video29,0.925,Audience Anticipation,Highly Positive
video99,0.5,Social Interaction,Neutral
video60,0.85,Audience Reaction,Highly Positive
video82,0.789,Social Interaction,Positive
video54,0.35,Game Experience,Negative
video82,0.65,Social Interaction,Positive
video82,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video3,0.925,Audience Reaction,Highly Positive
video20,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video10,0.5,Game Requirement,Neutral
video82,0.5,Social Interaction,Neutral
video117,0.5,Game Design,Neutral
video4,0.5,Social Interaction,Neutral
video4,0.5,Audience Reaction,Neutral
video84,0.5,Information Share,Neutral
video21,0.25,Audience Reaction,Negative
video20,0.5,Game Plot,Neutral
video82,0.5,Audience Anticipation,Neutral
video43,0.5,Audience Feedback,Neutral
video82,0.5,Game Plot,Neutral
video76,0.45,Social Interaction,Neutral
video37,0.925,Game Plot,Highly Positive
video4,0.25,Audience Feedback,Negative
video23,0.75,Game Experience,Positive
video32,0.5,Audience Anticipation,Neutral
video114,0.65,Information Share,Positive
video47,0.75,Social Interaction,Positive
video91,0.45,Social Interaction,Neutral
video2,0.75,Game Design,Positive
video21,0.85,Social Interaction,Highly Positive
video82,0.65,Audience Reaction,Positive
video51,0.75,Game Design,Positive
video82,0.85,Social Interaction,Highly Positive
video82,0.35,Game Design,Negative
video82,0.5,Game Plot,Neutral
video9,0.45,Audience Reaction,Neutral
video7,0.85,Game Design,Highly Positive
video70,0.5,Progress and Updates,Neutral
video29,0.5,Audience Reaction,Neutral
video82,0.65,Audience Anticipation,Positive
video4,0.985,Audience Reaction,Highly Positive
video4,0.35,Game Design,Negative
video10,0.5,Social Interaction,Neutral
video23,0.75,Information Share,Positive
video115,0.5,Social Interaction,Neutral
video39,0.9,Audience Reaction,Highly Positive
video80,0.5,Social Interaction,Neutral
video41,0.8,Social Interaction,Highly Positive
video78,0.75,Audience Reaction,Positive
video42,0.35,Audience Feedback,Negative
video82,0.25,Audience Reaction,Negative
video20,0.65,Audience Reaction,Positive
video82,0.5,Game Plot,Neutral
video3,0.5,Information Share,Neutral
video85,0.85,Audience Reaction,Highly Positive
video2,0.55,Audience Reaction,Neutral
video3,0.925,Audience Anticipation,Highly Positive
video30,0.75,Game Design,Positive
video75,0.25,Social Interaction,Negative
video82,0.5,Social Interaction,Neutral
video82,0.55,Audience Reaction,Neutral
video117,0.75,Audience Reaction,Positive
video43,0.6,Audience Feedback,Positive
video104,0.75,Game Plot,Positive
video82,0.85,Audience Reaction,Highly Positive
video4,0.35,Audience Feedback,Negative
video59,0.85,Game Plot,Highly Positive
video82,0.5,Game Design,Neutral
video69,0.5,Game Design,Neutral
