video,Sentiment Score,Classification,IP,Label
video14,0.9,Audience Reaction,Fujian,Highly Positive
video2,0.875,Audience Reaction,Shandong,Highly Positive
video80,0.5,Social Interaction,Sichuan,Neutral
video81,0.25,Game Experience,Sichuan,Negative
video6,0.5,Social Interaction,Sichuan,Neutral
video80,0.925,Audience Reaction,Chongqing,Highly Positive
video20,0.925,Game Plot,Guangdong,Highly Positive
video7,0.5,Social Interaction,Chongqing,Neutral
video80,0.75,Social Interaction,Jiangsu,Positive
video21,0.5,Social Interaction,Heilongjiang,Neutral
video7,0.652,Game Experience,Zhejiang,Positive
video54,0.888,Audience Reaction,Guangdong,Highly Positive
video21,0.75,Audience Reaction,Guangxi,Positive
video55,0.45,Game Plot,Heilongjiang,Neutral
video6,0.95,Social Interaction,Beijing,Highly Positive
video20,0.925,Social Interaction,Anhui,Highly Positive
video82,0.45,Game Plot,Hunan,Neutral
video20,0.85,Audience Feedback,Chongqing,Highly Positive
video81,0.75,Game Experience,Xinjiang,Positive
video6,0.5,Social Interaction,Sichuan,Neutral
video80,0.25,Social Interaction,Ningxia,Negative
video56,0.5,Social Interaction,Chongqing,Neutral
video41,0.95,Audience Reaction,Tianjin,Highly Positive
video6,0.5,Social Interaction,Jiangxi,Neutral
video59,0.5,Game Experience,Jilin,Neutral
video12,0.0,Social Interaction,Shanghai,Highly Negative
video59,0.5,Social Interaction,Zhejiang,Neutral
video22,0.25,Audience Feedback,Guangdong,Negative
video59,0.15,Audience Feedback,Yunnan,Highly Negative
video2,0.75,Game Design,Jiangsu,Positive
video56,0.451,Audience Reaction,Heilongjiang,Neutral
video47,0.5,Game Design,Chongqing,Neutral
video14,0.95,Social Interaction,Shandong,Highly Positive
video6,0.925,Game Plot,Guangdong,Highly Positive
video6,0.25,Game Experience,Taiwan,Negative
video1,0.654,Game Plot,Tianjin,Positive
video1,0.75,Game Plot,Hubei,Positive
video55,0.75,Game Plot,Jiangxi,Positive
video1,0.235,Audience Feedback,Beijing,Negative
video59,0.253,Audience Feedback,Zhejiang,Negative
video22,0.5,Social Interaction,Sichuan,Neutral
video81,0.6,Social Interaction,Guangdong,Positive
video60,0.45,Audience Reaction,Sichuan,Neutral
video46,0.45,Social Interaction,Qinghai,Neutral
video6,0.25,Game Design,Guangxi,Negative
video80,0.85,Game Experience,Hebei,Highly Positive
video22,0.925,Social Interaction,Shaanxi,Highly Positive
video79,0.925,Social Interaction,Guangdong,Highly Positive
video5,0.95,Game Experience,Shaanxi,Highly Positive
video67,0.456,Social Interaction,Shaanxi,Neutral
video59,0.985,Audience Reaction,Fujian,Highly Positive
video56,0.75,Game Plot,Liaoning,Positive
video73,0.85,Game Plot,Shanghai,Highly Positive
video81,0.75,Social Interaction,Xinjiang,Positive
video59,0.95,Audience Reaction,Guizhou,Highly Positive
video56,0.5,Social Interaction,Guangdong,Neutral
video6,0.5,Social Interaction,Hebei,Neutral
video88,0.5,Social Interaction,Zhejiang,Neutral
video42,0.852,Social Interaction,Hebei,Highly Positive
video21,0.65,Audience Feedback,Qinghai,Positive
video82,0.5,Game Requirement,Guangdong,Neutral
video26,0.0,Social Interaction,Guangdong,Highly Negative
video70,0.5,Social Interaction,Shandong,Neutral
video6,0.15,Game Experience,Tianjin,Highly Negative
video17,0.75,Game Experience,Shaanxi,Positive
video80,0.75,Information Share,Hebei,Positive
video21,0.925,Social Interaction,Liaoning,Highly Positive
video28,0.852,Progress and Updates,Fujian,Highly Positive
video67,0.95,Social Interaction,Jiangxi,Highly Positive
video41,0.925,Social Interaction,Henan,Highly Positive
video49,0.5,Social Interaction,Shandong,Neutral
video6,0.85,Social Interaction,Hunan,Highly Positive
video60,0.25,Game Experience,Guangdong,Negative
video89,0.75,Game Experience,Henan,Positive
video6,0.5,Game Plot,Guangdong,Neutral
video21,0.85,Game Design,Hunan,Highly Positive
video50,0.753,Game Plot,Hunan,Positive
video60,0.5,Game Design,Hubei,Neutral
video22,0.5,Social Interaction,Sichuan,Neutral
video21,0.45,Social Interaction,Fujian,Neutral
video41,0.75,Social Interaction,Tianjin,Positive
video81,0.75,Game Design,Zhejiang,Positive
video1,0.925,Audience Anticipation,Fujian,Highly Positive
video14,0.5,Social Interaction,Liaoning,Neutral
video73,0.5,Game Plot,Guangdong,Neutral
video21,0.45,Social Interaction,Hubei,Neutral
video70,0.5,Social Interaction,Tianjin,Neutral
video80,0.65,Audience Reaction,Jiangsu,Positive
video50,0.5,Audience Reaction,Zhejiang,Neutral
video21,0.5,Social Interaction,Shaanxi,Neutral
video56,0.85,Game Plot,Shanghai,Highly Positive
video59,0.65,Game Plot,Henan,Positive
video14,0.45,Social Interaction,Shanxi,Neutral
video20,0.75,Game Design,Jiangsu,Positive
video6,0.25,Audience Reaction,Hebei,Negative
video79,0.925,Audience Reaction,Guangdong,Highly Positive
video56,0.789,Audience Reaction,Jilin,Positive
video54,0.5,Social Interaction,Guangdong,Neutral
video22,0.75,Information Share,Guangxi,Positive
video49,0.85,Audience Reaction,Fujian,Highly Positive
video88,0.5,Social Interaction,Shandong,Neutral
video56,0.357,Audience Reaction,Zhejiang,Negative
video59,0.5,Social Interaction,Inner Mongolia,Neutral
video59,0.75,Social Interaction,Hunan,Positive
video21,0.25,Game Plot,Hebei,Negative
video50,0.65,Audience Reaction,Chongqing,Positive
video82,0.75,Audience Reaction,Guangdong,Positive
video1,0.35,Game Plot,Fujian,Negative
video49,0.85,Social Interaction,Guangdong,Highly Positive
video80,0.5,Social Interaction,Hubei,Neutral
video7,0.95,Audience Reaction,Zhejiang,Highly Positive
video68,0.65,Social Interaction,Henan,Positive
video7,0.85,Game Experience,Unknown,Highly Positive
video16,0.85,Game Design,Shandong,Highly Positive
video56,0.45,Audience Reaction,Shanghai,Neutral
video59,0.45,Audience Feedback,Shanxi,Neutral
video22,0.75,Social Interaction,Sichuan,Positive
video59,0.852,Game Plot,Gansu,Highly Positive
video56,0.925,Audience Reaction,Beijing,Highly Positive
video40,0.753,Game Design,Guangxi,Positive
video81,0.75,Audience Reaction,Jiangsu,Positive
video6,0.25,Game Plot,Hebei,Negative
video21,0.925,Game Design,Unknown,Highly Positive
video88,0.85,Social Interaction,Zhejiang,Highly Positive
video21,0.95,Audience Anticipation,Jiangsu,Highly Positive
video48,0.9,Audience Reaction,Shandong,Highly Positive
video80,0.5,Social Interaction,Jiangsu,Neutral
video80,0.453,Audience Feedback,Tianjin,Neutral
video20,0.925,Audience Anticipation,Sichuan,Highly Positive
video6,0.5,Social Interaction,Hebei,Neutral
video14,0.85,Social Interaction,Guangxi,Highly Positive
video21,0.95,Audience Reaction,Hubei,Highly Positive
video6,0.45,Social Interaction,Shandong,Neutral
video6,0.925,Game Experience,Sichuan,Highly Positive
video80,0.75,Audience Reaction,Henan,Positive
video56,0.75,Social Interaction,Guangdong,Positive
video55,0.925,Game Design,Shandong,Highly Positive
video46,0.95,Social Interaction,Hebei,Highly Positive
video6,0.5,Social Interaction,Liaoning,Neutral
video6,0.5,Social Interaction,Hunan,Neutral
video15,0.75,Audience Reaction,Jiangsu,Positive
video22,0.995,Audience Reaction,Taiwan,Highly Positive
video56,0.85,Audience Reaction,Sichuan,Highly Positive
video27,0.85,Game Experience,Zhejiang,Highly Positive
video67,0.852,Game Experience,Zhejiang,Highly Positive
video2,0.925,Audience Reaction,Jiangsu,Highly Positive
video11,0.85,Game Design,Shandong,Highly Positive
video6,0.5,Audience Feedback,Guangdong,Neutral
video59,0.75,Social Interaction,Shaanxi,Positive
video59,0.5,Game Plot,Hebei,Neutral
video11,0.95,Audience Reaction,Henan,Highly Positive
video70,0.5,Social Interaction,Hebei,Neutral
video80,0.95,Social Interaction,Shanxi,Highly Positive
video17,0.95,Audience Reaction,Hunan,Highly Positive
video50,0.5,Social Interaction,Shaanxi,Neutral
video14,0.75,Audience Reaction,Chongqing,Positive
video22,0.5,Social Interaction,Shanghai,Neutral
video6,0.85,Audience Reaction,Guangdong,Highly Positive
video14,0.9,Audience Reaction,Ningxia,Highly Positive
video14,0.5,Audience Reaction,Jiangsu,Neutral
video6,0.25,Game Experience,Fujian,Negative
video50,0.5,Social Interaction,Anhui,Neutral
video80,0.95,Audience Reaction,Sichuan,Highly Positive
video46,0.235,Audience Reaction,Beijing,Negative
video27,0.25,Audience Reaction,Yunnan,Negative
video60,0.357,Game Plot,Sichuan,Negative
video46,0.888,Audience Reaction,Guangdong,Highly Positive
video52,0.456,Audience Reaction,Guizhou,Neutral
video14,0.456,Social Interaction,Fujian,Neutral
video80,0.5,Social Interaction,Anhui,Neutral
video59,0.985,Game Plot,Hebei,Highly Positive
video20,0.925,Social Interaction,Beijing,Highly Positive
video76,0.25,Game Experience,Guizhou,Negative
video17,0.95,Audience Reaction,Liaoning,Highly Positive
video22,0.85,Social Interaction,Sichuan,Highly Positive
video20,0.5,Audience Anticipation,Yunnan,Neutral
video2,0.5,Social Interaction,Jiangsu,Neutral
video22,0.65,Social Interaction,Anhui,Positive
video20,0.95,Audience Reaction,Anhui,Highly Positive
video16,0.85,Audience Reaction,Guangdong,Highly Positive
video21,0.95,Social Interaction,Heilongjiang,Highly Positive
video88,0.75,Audience Reaction,Guangxi,Positive
video67,0.925,Game Plot,Beijing,Highly Positive
video14,0.95,Social Interaction,Shanghai,Highly Positive
video81,0.5,Game Experience,Unknown,Neutral
video14,0.5,Social Interaction,Shandong,Neutral
video80,0.456,Social Interaction,Tianjin,Neutral
video48,0.789,Audience Reaction,Yunnan,Positive
video14,0.456,Game Experience,Guangdong,Neutral
video3,0.95,Game Design,Hebei,Highly Positive
video88,0.25,Game Experience,Liaoning,Negative
video54,0.75,Social Interaction,Sichuan,Positive
video6,0.5,Social Interaction,Shandong,Neutral
video75,0.75,Social Interaction,Shaanxi,Positive
video6,0.5,Social Interaction,Shaanxi,Neutral
video81,0.453,Game Experience,Jilin,Neutral
video6,0.85,Social Interaction,Guangdong,Highly Positive
video56,0.15,Audience Reaction,Unknown,Highly Negative
video59,0.999,Social Interaction,Zhejiang,Highly Positive
video21,0.5,Social Interaction,Hubei,Neutral
video22,0.95,Social Interaction,Zhejiang,Highly Positive
video22,0.85,Audience Anticipation,Guangdong,Highly Positive
video6,0.55,Social Interaction,Henan,Neutral
video59,0.35,Game Experience,Anhui,Negative
video6,0.65,Game Experience,Anhui,Positive
video89,0.652,Game Experience,Jiangsu,Positive
video41,0.254,Audience Feedback,Anhui,Negative
video22,0.5,Information Share,Sichuan,Neutral
video41,0.65,Game Plot,Guangdong,Positive
video22,0.45,Social Interaction,Hunan,Neutral
video6,0.5,Social Interaction,Tianjin,Neutral
video50,0.45,Social Interaction,Yunnan,Neutral
video57,0.456,Audience Reaction,Sichuan,Neutral
video22,0.75,Audience Reaction,Jiangsu,Positive
video80,0.85,Social Interaction,Jiangxi,Highly Positive
video21,0.45,Audience Reaction,Hebei,Neutral
video1,0.453,Game Plot,Fujian,Neutral
video41,0.456,Social Interaction,Jiangsu,Neutral
video6,0.5,Social Interaction,Qinghai,Neutral
video6,0.5,Social Interaction,Heilongjiang,Neutral
video7,0.75,Game Experience,Guangdong,Positive
video88,0.85,Game Design,Hubei,Highly Positive
video28,0.35,Game Experience,Liaoning,Negative
video20,0.85,Audience Reaction,Henan,Highly Positive
video82,0.925,Audience Reaction,Guangxi,Highly Positive
video21,0.95,Audience Reaction,Jiangsu,Highly Positive
video83,0.45,Social Interaction,Anhui,Neutral
video6,0.5,Game Plot,Shandong,Neutral
video6,0.85,Audience Reaction,Hunan,Highly Positive
video83,0.652,Game Experience,Jiangxi,Positive
video21,0.925,Audience Anticipation,Gansu,Highly Positive
video60,0.95,Social Interaction,Jiangsu,Highly Positive
video21,0.65,Information Share,Hubei,Positive
video21,0.75,Social Interaction,Yunnan,Positive
video6,0.5,Social Interaction,Jiangsu,Neutral
video10,0.95,Social Interaction,Guangdong,Highly Positive
video20,0.925,Progress and Updates,Sichuan,Highly Positive
video21,0.95,Information Share,Shandong,Highly Positive
video44,0.456,Information Share,Shaanxi,Neutral
video14,0.25,Game Experience,Xinjiang,Negative
video14,0.925,Social Interaction,Jiangxi,Highly Positive
video44,0.5,Social Interaction,Hubei,Neutral
video59,0.925,Social Interaction,Liaoning,Highly Positive
video69,0.95,Social Interaction,Sichuan,Highly Positive
video59,0.9,Audience Anticipation,Inner Mongolia,Highly Positive
video41,0.652,Social Interaction,Guangdong,Positive
video50,0.5,Game Plot,Guangdong,Neutral
video59,0.753,Game Plot,Henan,Positive
video82,0.5,Social Interaction,Guangdong,Neutral
video21,0.85,Game Requirement,Anhui,Highly Positive
video56,0.95,Social Interaction,Xinjiang,Highly Positive
video14,0.888,Audience Reaction,Guizhou,Highly Positive
video14,0.5,Social Interaction,Guangdong,Neutral
video21,0.5,Social Interaction,Guangdong,Neutral
video60,0.75,Game Design,Chongqing,Positive
video41,0.85,Progress and Updates,Liaoning,Highly Positive
video6,0.5,Social Interaction,Zhejiang,Neutral
video6,0.5,Social Interaction,Hebei,Neutral
video67,0.652,Game Experience,Tianjin,Positive
video17,0.85,Social Interaction,Shaanxi,Highly Positive
video47,0.852,Social Interaction,Sichuan,Highly Positive
video6,0.5,Social Interaction,Beijing,Neutral
video50,0.75,Game Plot,Shanghai,Positive
video74,0.75,Social Interaction,Hubei,Positive
video80,0.75,Social Interaction,Guizhou,Positive
video6,0.5,Social Interaction,Hebei,Neutral
video60,0.85,Game Plot,Shandong,Highly Positive
video2,0.5,Game Experience,Guizhou,Neutral
video20,0.5,Social Interaction,Zhejiang,Neutral
video80,0.923,Game Plot,Chongqing,Highly Positive
video50,0.75,Social Interaction,Fujian,Positive
video59,0.925,Progress and Updates,Guangdong,Highly Positive
video56,0.35,Game Plot,Jilin,Negative
video21,0.85,Game Plot,Guangdong,Highly Positive
video60,0.5,Social Interaction,Unknown,Neutral
video6,0.5,Social Interaction,Hebei,Neutral
video42,0.85,Game Plot,Jiangsu,Highly Positive
video14,0.5,Social Interaction,Yunnan,Neutral
video21,0.5,Information Share,Tianjin,Neutral
video21,0.95,Audience Reaction,Shaanxi,Highly Positive
video17,0.95,Audience Reaction,Sichuan,Highly Positive
video50,0.925,Game Plot,Hubei,Highly Positive
video80,0.5,Social Interaction,Hubei,Neutral
video60,0.456,Social Interaction,Guangdong,Neutral
video42,0.0,Social Interaction,Henan,Highly Negative
video89,0.95,Audience Reaction,Shanxi,Highly Positive
video41,0.85,Game Plot,Hubei,Highly Positive
video54,0.85,Audience Reaction,Beijing,Highly Positive
video88,0.75,Game Experience,Shanghai,Positive
video26,0.9,Social Interaction,Guizhou,Highly Positive
video10,0.925,Game Experience,Liaoning,Highly Positive
video21,0.85,Social Interaction,Guangdong,Highly Positive
video2,0.45,Social Interaction,Shanxi,Neutral
video80,0.925,Game Experience,Zhejiang,Highly Positive
video61,0.852,Game Plot,Shanxi,Highly Positive
video81,0.75,Social Interaction,Guizhou,Positive
video6,0.5,Social Interaction,Shandong,Neutral
video6,0.15,Game Experience,Guangxi,Highly Negative
video21,0.5,Social Interaction,Anhui,Neutral
video14,0.85,Social Interaction,Jiangsu,Highly Positive
video21,0.5,Social Interaction,Fujian,Neutral
video6,0.85,Audience Reaction,Zhejiang,Highly Positive
video17,0.85,Audience Reaction,Guangdong,Highly Positive
video56,0.5,Audience Reaction,Guangdong,Neutral
video50,0.5,Game Plot,Sichuan,Neutral
video80,0.65,Game Experience,Shandong,Positive
video82,0.5,Social Interaction,Sichuan,Neutral
video20,0.85,Audience Reaction,Hainan,Highly Positive
video56,0.925,Audience Feedback,Zhejiang,Highly Positive
video21,0.75,Audience Anticipation,Sichuan,Positive
video89,0.789,Game Plot,Liaoning,Positive
video80,0.75,Social Interaction,Hubei,Positive
video22,0.5,Game Requirement,Jilin,Neutral
video20,0.95,Social Interaction,Liaoning,Highly Positive
video56,0.925,Audience Reaction,Inner Mongolia,Highly Positive
video22,0.95,Audience Anticipation,Guizhou,Highly Positive
video47,0.5,Social Interaction,Guangxi,Neutral
video56,0.345,Audience Reaction,Sichuan,Negative
video6,0.5,Social Interaction,Beijing,Neutral
video83,0.852,Game Experience,Guangxi,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video80,0.5,Social Interaction,Shanghai,Neutral
video22,0.5,Social Interaction,Chongqing,Neutral
video56,0.5,Audience Reaction,Shandong,Neutral
video1,0.95,Social Interaction,Hubei,Highly Positive
video22,0.85,Social Interaction,Guangdong,Highly Positive
video6,0.5,Social Interaction,Yunnan,Neutral
video49,0.888,Audience Reaction,Guangdong,Highly Positive
video46,0.85,Audience Reaction,Zhejiang,Highly Positive
video6,0.45,Game Plot,Yunnan,Neutral
video59,0.75,Game Plot,Hebei,Positive
video5,0.985,Audience Reaction,Shandong,Highly Positive
video6,0.35,Audience Feedback,Guangxi,Negative
video80,0.25,Game Experience,Henan,Negative
video56,0.5,Social Interaction,Beijing,Neutral
video80,0.75,Game Experience,Jiangxi,Positive
video14,0.925,Audience Reaction,Tianjin,Highly Positive
video81,0.5,Social Interaction,Sichuan,Neutral
video70,0.65,Social Interaction,Guangdong,Positive
video17,0.85,Game Experience,Hunan,Highly Positive
video21,0.925,Audience Reaction,Liaoning,Highly Positive
video80,0.85,Audience Reaction,Shaanxi,Highly Positive
video56,0.5,Social Interaction,Liaoning,Neutral
video1,0.85,Audience Reaction,Zhejiang,Highly Positive
video6,0.75,Game Experience,Liaoning,Positive
video26,0.35,Social Interaction,Shanxi,Negative
video20,0.85,Information Share,Henan,Highly Positive
video80,0.75,Game Experience,Shanxi,Positive
video17,0.85,Social Interaction,Liaoning,Highly Positive
video64,0.654,Game Plot,Jiangsu,Positive
video41,0.0,Social Interaction,Shandong,Highly Negative
video7,0.5,Game Experience,Jiangxi,Neutral
video14,0.925,Audience Reaction,Liaoning,Highly Positive
video82,0.5,Social Interaction,Jiangsu,Neutral
video40,0.45,Audience Reaction,Hunan,Neutral
video80,0.5,Social Interaction,Zhejiang,Neutral
video6,0.0,Social Interaction,Guangdong,Highly Negative
video82,0.5,Social Interaction,Shandong,Neutral
video48,0.85,Audience Reaction,Sichuan,Highly Positive
video21,1.0,Audience Reaction,Jiangsu,Highly Positive
video17,0.5,Game Requirement,Guangxi,Neutral
video88,0.25,Game Experience,Guangdong,Negative
video80,0.75,Social Interaction,Hubei,Positive
video74,1.0,Audience Reaction,Henan,Highly Positive
video80,0.85,Social Interaction,Henan,Highly Positive
video13,0.888,Audience Reaction,Henan,Highly Positive
video67,0.85,Game Plot,Shanghai,Highly Positive
video80,0.5,Social Interaction,Fujian,Neutral
video59,0.9,Social Interaction,Yunnan,Highly Positive
video79,0.652,Game Experience,Hubei,Positive
video56,0.65,Game Plot,Zhejiang,Positive
video20,0.925,Audience Anticipation,Yunnan,Highly Positive
video6,0.5,Social Interaction,Heilongjiang,Neutral
video1,0.25,Game Plot,Hebei,Negative
video44,0.45,Social Interaction,Hunan,Neutral
video50,0.5,Social Interaction,Anhui,Neutral
video82,0.5,Information Share,Jiangxi,Neutral
video56,0.25,Social Interaction,Shandong,Negative
video21,0.95,Game Plot,Jilin,Highly Positive
video56,0.5,Social Interaction,Shandong,Neutral
video82,0.456,Social Interaction,Zhejiang,Neutral
video6,0.5,Social Interaction,Shanxi,Neutral
video2,0.85,Game Plot,Xinjiang,Highly Positive
video11,0.35,Game Experience,Ningxia,Negative
video11,0.95,Game Design,Sichuan,Highly Positive
video59,0.2,Audience Feedback,Tianjin,Negative
video81,0.35,Audience Reaction,Hebei,Negative
video80,0.95,Social Interaction,Guangdong,Highly Positive
video20,0.925,Game Plot,Hebei,Highly Positive
video47,0.85,Audience Reaction,Jilin,Highly Positive
video47,0.5,Audience Reaction,Hebei,Neutral
video1,0.5,Social Interaction,Sichuan,Neutral
video6,0.5,Social Interaction,Hubei,Neutral
video80,0.5,Social Interaction,Gansu,Neutral
video21,0.925,Game Design,Guangdong,Highly Positive
video48,0.5,Social Interaction,Guangdong,Neutral
video55,0.852,Social Interaction,Heilongjiang,Highly Positive
video6,0.5,Social Interaction,Fujian,Neutral
video56,0.75,Audience Reaction,Henan,Positive
video22,0.5,Game Requirement,Sichuan,Neutral
video6,0.5,Audience Reaction,Henan,Neutral
video14,0.45,Social Interaction,Hunan,Neutral
video21,0.75,Game Experience,Hubei,Positive
video3,0.5,Information Share,Hunan,Neutral
video14,0.5,Game Experience,Jiangsu,Neutral
video2,0.75,Game Plot,Shanghai,Positive
video80,0.5,Social Interaction,Jiangsu,Neutral
video45,0.852,Game Plot,Sichuan,Highly Positive
video6,0.925,Social Interaction,Hebei,Highly Positive
video81,0.25,Game Experience,Anhui,Negative
video47,0.852,Game Experience,Jiangxi,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video14,0.5,Game Plot,Hebei,Neutral
video6,0.5,Social Interaction,Beijing,Neutral
video21,0.5,Progress and Updates,Guangdong,Neutral
video59,0.235,Game Plot,Jiangxi,Negative
video46,0.95,Social Interaction,Chongqing,Highly Positive
video56,0.75,Audience Reaction,Jiangsu,Positive
video22,0.95,Audience Reaction,Beijing,Highly Positive
video59,0.45,Social Interaction,Guangxi,Neutral
video20,0.5,Social Interaction,Anhui,Neutral
video46,0.925,Audience Anticipation,Beijing,Highly Positive
video55,0.5,Social Interaction,Jiangxi,Neutral
video21,0.85,Game Experience,Hebei,Highly Positive
video6,0.75,Social Interaction,Guangxi,Positive
video16,0.95,Audience Reaction,Gansu,Highly Positive
video21,0.5,Information Share,Shandong,Neutral
video59,0.45,Audience Reaction,Chongqing,Neutral
video41,0.5,Social Interaction,Liaoning,Neutral
video17,0.925,Audience Reaction,Guangdong,Highly Positive
video80,0.5,Social Interaction,Henan,Neutral
video21,0.95,Information Share,Jiangsu,Highly Positive
video52,0.95,Social Interaction,Shanxi,Highly Positive
video20,0.5,Social Interaction,Hubei,Neutral
video50,0.85,Game Plot,Jiangsu,Highly Positive
video14,0.852,Game Plot,Sichuan,Highly Positive
video76,0.357,Game Experience,Chongqing,Negative
video14,0.35,Game Experience,Henan,Negative
video21,0.85,Audience Anticipation,Shaanxi,Highly Positive
video1,0.85,Audience Reaction,Zhejiang,Highly Positive
video1,0.75,Audience Reaction,Liaoning,Positive
video6,0.75,Game Experience,Guangdong,Positive
video80,0.65,Audience Reaction,Hubei,Positive
video49,0.5,Social Interaction,Hunan,Neutral
video50,0.456,Social Interaction,Fujian,Neutral
video67,0.85,Game Plot,Yunnan,Highly Positive
video56,0.45,Audience Reaction,Shanghai,Neutral
video14,0.5,Social Interaction,Fujian,Neutral
video80,0.5,Social Interaction,Guangdong,Neutral
video6,0.75,Game Plot,Xinjiang,Positive
video22,0.75,Social Interaction,Shanghai,Positive
video59,0.75,Audience Reaction,Guangxi,Positive
video14,0.85,Social Interaction,Guangdong,Highly Positive
video6,0.15,Social Interaction,Shandong,Highly Negative
video23,0.925,Audience Reaction,Gansu,Highly Positive
video54,0.85,Progress and Updates,Jiangxi,Highly Positive
video16,0.925,Social Interaction,Guangdong,Highly Positive
video78,0.5,Social Interaction,Zhejiang,Neutral
video59,0.5,Game Plot,Shandong,Neutral
video14,0.995,Game Design,Shandong,Highly Positive
video11,0.95,Social Interaction,Henan,Highly Positive
video6,0.5,Social Interaction,Shandong,Neutral
video6,0.5,Social Interaction,Guangdong,Neutral
video21,0.85,Social Interaction,Jiangxi,Highly Positive
video76,0.75,Game Plot,Hebei,Positive
video6,0.5,Social Interaction,Yunnan,Neutral
video6,0.75,Social Interaction,Shaanxi,Positive
video1,0.654,Game Plot,Xinjiang,Positive
video22,0.5,Social Interaction,Unknown,Neutral
video55,0.45,Game Experience,Hunan,Neutral
video14,0.95,Social Interaction,Jiangsu,Highly Positive
video67,0.456,Game Experience,Hebei,Neutral
video55,0.5,Social Interaction,Guangdong,Neutral
video1,0.95,Social Interaction,Shanghai,Highly Positive
video80,0.925,Audience Reaction,Fujian,Highly Positive
video59,0.85,Social Interaction,Jiangsu,Highly Positive
video55,0.852,Audience Anticipation,Shandong,Highly Positive
video11,0.75,Audience Reaction,Shandong,Positive
video11,0.95,Social Interaction,Heilongjiang,Highly Positive
video80,0.45,Game Design,Heilongjiang,Neutral
video67,0.654,Game Experience,Guangdong,Positive
video22,0.9,Game Requirement,Fujian,Highly Positive
video80,0.652,Game Experience,Hubei,Positive
video11,0.95,Audience Reaction,Jiangsu,Highly Positive
video17,1.0,Audience Reaction,Shaanxi,Highly Positive
video21,0.95,Audience Reaction,Hebei,Highly Positive
video20,0.5,Social Interaction,Anhui,Neutral
video80,0.85,Social Interaction,Guangdong,Highly Positive
video50,0.75,Game Design,Zhejiang,Positive
video41,0.925,Game Plot,Heilongjiang,Highly Positive
video14,0.35,Game Experience,Liaoning,Negative
video41,0.925,Audience Anticipation,Jilin,Highly Positive
video64,1.0,Audience Reaction,Liaoning,Highly Positive
video40,0.85,Audience Reaction,Sichuan,Highly Positive
video14,0.85,Audience Feedback,Beijing,Highly Positive
video47,0.25,Social Interaction,Guizhou,Negative
video80,0.95,Game Design,Hubei,Highly Positive
video60,0.6,Information Share,Hainan,Positive
video76,0.65,Progress and Updates,Shanghai,Positive
video41,0.95,Social Interaction,Hebei,Highly Positive
video26,0.45,Audience Reaction,Guangdong,Neutral
video80,0.357,Game Experience,Guangdong,Negative
video6,0.5,Social Interaction,Hunan,Neutral
video60,0.25,Social Interaction,Guangxi,Negative
video54,0.5,Social Interaction,Shanghai,Neutral
video50,0.75,Game Plot,Hebei,Positive
video30,0.5,Social Interaction,Yunnan,Neutral
video13,0.999,Social Interaction,Henan,Highly Positive
video88,0.85,Audience Reaction,Guangdong,Highly Positive
video3,0.235,Game Experience,Hubei,Negative
video80,0.95,Social Interaction,Guangdong,Highly Positive
video17,0.95,Audience Reaction,Sichuan,Highly Positive
video21,0.925,Social Interaction,Guangxi,Highly Positive
video21,0.925,Social Interaction,Hebei,Highly Positive
video50,0.85,Game Plot,Shaanxi,Highly Positive
video75,0.5,Game Plot,Hubei,Neutral
video21,0.5,Social Interaction,Liaoning,Neutral
video46,0.75,Social Interaction,Hubei,Positive
video75,0.65,Game Plot,Shandong,Positive
video14,0.5,Audience Reaction,Guangdong,Neutral
video50,0.0,Social Interaction,Jiangsu,Highly Negative
video44,0.852,Game Plot,Jiangsu,Highly Positive
video22,0.5,Social Interaction,Hubei,Neutral
video67,0.999,Social Interaction,Gansu,Highly Positive
video78,0.5,Game Plot,Sichuan,Neutral
video80,0.5,Social Interaction,Guizhou,Neutral
video81,0.75,Game Experience,Sichuan,Positive
video17,0.75,Social Interaction,Tianjin,Positive
video67,0.35,Audience Feedback,Beijing,Negative
video22,0.9,Audience Anticipation,Guangxi,Highly Positive
video80,0.75,Audience Reaction,Shanghai,Positive
video11,0.65,Information Share,Guangdong,Positive
video46,0.925,Progress and Updates,Unknown,Highly Positive
video81,0.456,Game Experience,Guizhou,Neutral
video47,0.5,Social Interaction,Guangdong,Neutral
video20,0.5,Social Interaction,Sichuan,Neutral
video76,0.85,Game Experience,Zhejiang,Highly Positive
video50,0.85,Game Plot,Jiangsu,Highly Positive
video36,0.45,Game Requirement,Sichuan,Neutral
video56,0.85,Social Interaction,Shaanxi,Highly Positive
video40,0.85,Social Interaction,Jiangxi,Highly Positive
video56,0.925,Audience Reaction,Tianjin,Highly Positive
video17,0.925,Audience Reaction,Liaoning,Highly Positive
video1,0.25,Game Plot,Hebei,Negative
video67,0.15,Audience Reaction,Guangdong,Highly Negative
video1,0.95,Audience Reaction,Yunnan,Highly Positive
video20,0.95,Social Interaction,Sichuan,Highly Positive
video20,0.45,Social Interaction,Henan,Neutral
video67,0.852,Game Plot,Yunnan,Highly Positive
video6,0.5,Social Interaction,Shandong,Neutral
video22,0.85,Game Plot,Sichuan,Highly Positive
video6,0.5,Game Experience,Yunnan,Neutral
